,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
0,['1645535622789210115'],1645535622789210115,pepsi  jetblue  zeroisnowboarding sweepstakes ,,
1,['1645535473635409922'],1645535473635409922,rt alcaldenetito: pepsi si me representa 😉 ,,
2,['1645535303049023496'],1645535303049023496,rt terra_cremada: pepsi ,,
3,['1645534631528210433'],1645534631528210433,emanuele catalano likes tutti in riga per il colonnello! pepsi kfc  ,,
4,['1645534457024352264'],1645534457024352264,rt alcaldenetito: pepsi si me representa 😉 ,,
5,['1645534196910428160'],1645534196910428160,pepsi si me representa 😉 ,,
6,['1645534014445441024'],1645534014445441024,jetblue pepsi zeroisnowbourdingsweepstakes. pepsi jetblue .    this would be a awesome prise,,
7,['1645533363845967873'],1645533363845967873,rt angryladki: बॉयकॉट करो इनका जो विदेशी कम्पनियों को कुछ नही कहते और स्वदेशी पर सवाल उठाते पेप्सी कोला हिंदुस्तान लीवर जैसी कंपनियों को क…,,
8,['1645532920298475533'],1645532920298475533,pepsi ,,
9,['1645531581745074191'],1645531581745074191,jetblue pepsi zeroisnowboarding sweepstakes and tag pepsi and jetblue for your chance to win.,,
10,['1645529961401585664'],1645529961401585664,"rt shygal_lilly: pepsi throwback is back!

i love pepsi throwback so much, it's the 80s pepsi recipe! ",,
11,['1645529619494473733'],1645529619494473733,"rt shygal_lilly: pepsi throwback is back!

i love pepsi throwback so much, it's the 80s pepsi recipe! ",,
12,['1645529022141538307'],1645529022141538307,"pepsi throwback is back!

i love pepsi throwback so much, it's the 80s pepsi recipe! ",,
13,['1645528226775830536'],1645528226775830536,"rt jannyloveg: pepsibr love ❤️ pepsi .
love ❤️‍🔥 messi𓃵  !!! 🤘",,
14,['1645527804623351808'],1645527804623351808,jetblue pepsi love this!! zeroisnowboarding sweepstakes pepsi jetblue,,
15,['1645527384584757249'],1645527384584757249,"rt templatemonster: have you seen the new pepsi logodesign?
the design work was said to have cost $1 million
and how much would you char…",,
16,['1645527211145936899'],1645527211145936899,twazolla raidernighthawk fweedomfightaw peepsbrand pepsi comanchecarl1 juicysharts kevinfi88510998 sfldragon booboovicious shlimpickens2 i still have nightmares!,,
17,['1645527035757080577'],1645527035757080577,"ramen_reigns pepsico pepsi thank you, ramen_reigns.  i hope that you had a great weekend and i hope you're having a wonderful day.  stay safe, buddy.",,
18,['1645526754612887552'],1645526754612887552,stuartgreen2018 pepsico pepsi good luck man.,,
19,['1645526020513046528'],1645526020513046528,"ramen_reigns pepsico pepsi also, ramen_reigns, there's no reason for companies like pepsi and coke to not have caffeine free products available everywhere for customers to buy.  a lot of my friends who can't drink caffeine miss these sodas, so i'm doing this for them.  it's our ""battle"", not mine. (2/2)",,
20,['1645525480404299776'],1645525480404299776,"ramen_reigns pepsico pepsi whenever i try to, it's usually listed from some third-party seller or ridiculously overpriced like $20 for a $12 pack and money's tight enough as it is.  whenever i try to get it on amazon, it says ""out of stock. we don't know when or if this item will be back in stock."" (1/2)",,
21,['1645525376142114832'],1645525376142114832,pepsi jetblue this would be awesome. zeroisnowboarding sweepstakes pepsi  jetblue,,
22,['1645524732425695233'],1645524732425695233,stuartgreen2018 pepsico pepsi pick your battles my dude. just order it from amazon. manage your energy!,,
23,['1645524579408916480'],1645524579408916480,"rt jannyloveg: pepsibr obrigado ✨ por curtir❤️‍🔥 !
meu refri favorito 🔥.
pepsi .",,
24,['1645524043527847951'],1645524043527847951,"pepsi jetblue jetblue pepsi zeroisnowboarding sweepstakes 

in desperate need of an escape!! ✈️ ",,
25,['1645523149730242560'],1645523149730242560,"rt cxk_thailand: 230410 百事中国 weibo update

สแกน qr code เพื่อเข้าสู่ pepsi metaverse สร้าง “ความกระหาย” ที่คุณสามารถทำได้ด้วยกัน กับโฆษกเ…",,
26,['1645521614681899043'],1645521614681899043,"raidernighthawk fweedomfightaw every since she hogtied the smokepitcrew and beat us all like cheap rugs with 2-liter bottle of  peepsbrand  pepsi, i've changed my got-damn ways and show the proper respect. 
 comanchecarl1 juicysharts kevinfi88510998 sfldragon kingzeejer booboovicious shlimpickens2 ",,
27,['1645521002720362532'],1645521002720362532,"❼ᴛʜʀᴇᴀᴅ ""new coke"" is trending, which makes it a great time to talk about what happened in april 1985 when coca-cola released new coke — and the hounds of hell
1980s weirdhistory
marketing mistake cocacola
pepsi  newcoke blunder advertising generationjones ",,
28,['1645520755730382863'],1645520755730382863,"❻ᴛʜʀᴇᴀᴅ ""new coke"" is trending, which makes it a great time to talk about what happened in april 1985 when coca-cola released new coke — and the hounds of hell ⭛
1980s weirdhistory
marketing mistake cocacola
pepsi  newcoke blunder advertising generationjones ",,
29,['1645520458018684944'],1645520458018684944,"❺ᴛʜʀᴇᴀᴅ ""new coke"" is trending, which makes it a great time to talk about what happened in april 1985 when coca-cola released new coke — and the hounds of hell ⭛
1980s weirdhistory
marketing mistake cocacola
pepsi  newcoke blunder advertising generationjones ",,
30,['1645520134109315073'],1645520134109315073,"❹ᴛʜʀᴇᴀᴅ ""new coke"" is trending, which makes it a great time to talk about what happened in april 1985 when coca-cola released new coke — and the hounds of hell ⭛
1980s weirdhistory
marketing mistake cocacola
pepsi  newcoke blunder advertising generationjones ",,
31,['1645519952567304192'],1645519952567304192,"ramen_reigns pepsico pepsi trying to find it in grocery stores again for the first time in three years and trying to make it easier to find in all stores, not on amazon. what's wrong with that?",,
32,['1645519927426818049'],1645519927426818049,rt angryladki: बॉयकॉट करो इनका जो विदेशी कम्पनियों को कुछ नही कहते और स्वदेशी पर सवाल उठाते पेप्सी कोला हिंदुस्तान लीवर जैसी कंपनियों को क…,,
33,['1645519626661494810'],1645519626661494810,"❸ᴛʜʀᴇᴀᴅ ""new coke"" is trending, which makes this a great time to talk about what happened in april 1985 when coca-cola released new coke — and the hounds of hell ⭛

1980s weirdhistory
marketing mistake cocacola
pepsi newcoke blunder advertising generationjones ",,
34,['1645519544100814849'],1645519544100814849,"have you seen the new pepsi logodesign?
the design work was said to have cost $1 million
and how much would you charge for redesigning a logo  🤔?",,
35,['1645519422818230272'],1645519422818230272,"❷ᴛʜʀᴇᴀᴅ ""new coke"" is trending, which makes this a great time to talk about what happened in april 1985 when coca-cola released new coke — and the hounds of hell ⭛

1980s weirdhistory
marketing mistake cocacola
pepsi newcoke blunder advertising generationjones ",,
36,['1645519355931754522'],1645519355931754522,"rt funhouse619: pepsi cocacola_gb
new pepsi formula is vile and undrinkable. feel conned as not aware of the change, could immediately t…",,
37,['1645519272213446671'],1645519272213446671,"funhouse619 pepsi cocacola_gb it's horrible, it tastes like crap, and still the same price!!",,
38,['1645519170795175948'],1645519170795175948,"❶ ᴛʜʀᴇᴀᴅ ""new coke"" is trending, which makes this a great time to talk about what happened in april 1985 when coca-cola released new coke — and the hounds of hell ⭛

1980s weirdhistory
marketing mistake cocacola
pepsi newcoke blunder advertising generationjones ",,
39,['1645519037969956907'],1645519037969956907,has anyone else noticed that cans of pepsi don’t taste like they used to 🤷,,
40,['1645518835317964813'],1645518835317964813,"would you like apep-si?  this is a well known occult concept of duality on which the 3rd dimension has been based on. they're not only poisoning ur body, they're poisoning the soul as well through the evoking of the dark spirits. there are no coincidences in this realm—pepsi ",,
41,['1645518254935531520'],1645518254935531520,stuartgreen2018 pepsico pepsi why would you advocate for caffeine free pepsi when you can mix dirt into water for free?,,
42,['1645517524371472384'],1645517524371472384,"pepsi cocacola_gb
new pepsi formula is vile and undrinkable. feel conned as not aware of the change, could immediately tell it was different.  there are plenty of reduced sugar options available. won't be buying again...running back to coca-cola after 20 years with pepsi brand",,
43,['1645517373342973968'],1645517373342973968,pepsi one of 3 american companies that are still innovating,,
44,['1645517347011133443'],1645517347011133443,"tesla's semi is moving &amp; delivering frito-lay and pepsi products!

the electric truck is making waves in the transportation industry, providing a sustainable &amp; efficient way to transport goods. 🚚🌮 teslasemi sustainability efficiency ev
⚡cnbc: ",,
45,['1645517028227440640'],1645517028227440640,stuartgreen2018 pepsico pepsi it's called amazon. just go buy it. what are you doing?,,
46,['1645516911201906688'],1645516911201906688,thge future is pepsi. i'm seeing the high and low tide of culture. we're heading towarsd a fixed point as a society and it is very very pepsi,,
47,['1645516887697096706'],1645516887697096706,rt alangeek1: agenda2030_ yo siempre apoye a pepsi ahora más..!! 🙌🙌 pepsi ,,
