,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
0,['1645536302488514561'],1645536302488514561,"efrenrodz subwaymexico tshdalosmorales subwaylistens subway subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
1,['1645536227423322112'],1645536227423322112,"subwaylistens rangerwyld subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
2,['1645536174830923776'],1645536174830923776,"subwaylistens migue5399 subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
3,['1645536133810454530'],1645536133810454530,"subwaylistens drewericksonca subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
4,['1645536095093018625'],1645536095093018625,"drewericksonca subway subwaycanada subwaylistens subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
5,['1645536079372533760'],1645536079372533760,"subwaylistens maximpieters subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
6,['1645536068492730368'],1645536068492730368,"maximpieters subway subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
7,['1645536057407012872'],1645536057407012872,"maximpieters subwaynederland subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
8,['1645536042143870976'],1645536042143870976,"variyaparth7 subway_de subway subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
9,['1645536028567162881'],1645536028567162881,"subwaylistens variyaparth7 subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
10,['1645534513802403840'],1645534513802403840,"subwaylistens subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
11,['1645534495523868676'],1645534495523868676,"subwaylistens subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
12,['1645534461713436672'],1645534461713436672,"subwaylistens collintanner9 christiancolv17 subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
13,['1645534407816777741'],1645534407816777741,collintanner9 nicklong17 subway he would but there's another planted fly on your peanuts.,,
14,['1645534244028940288'],1645534244028940288,collintanner9 subway it clearly landed there.,,
15,['1645534164765102082'],1645534164765102082,"collintanner9 subway subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
16,['1645534096507146248'],1645534096507146248,"subway $100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? subwayseriesmenu
",,
17,['1645531653593501705'],1645531653593501705,ai aided design subway train minibus artificialintelligence ,,
18,['1645528759540514817'],1645528759540514817,"kingofcakefight keeferrefer subway robgronkowski as a person that has a closed a store down, we let people through the doors to shop until 1 minute before closing. quit being lazy",,
19,['1645527752047566848'],1645527752047566848,"subway review bombing you every where from multiple accounts because for over an hour, you can't even dm me or reply. corporate office is getting review bombed, as well. exploring bbb options &amp; considering dropping the call recording as an ad on yt for anyone looking up food...",,
20,['1645527490339962880'],1645527490339962880,"rt doremifan2: エビアボカドを食べてみたくてサブウェイに行こうとしているが、1人で注文できる気がしない…
サブウェイ 
subway",,
21,['1645523269070774272'],1645523269070774272,trinity_047 subway ,,
22,['1645523259826339860'],1645523259826339860,sarafromspace_ subway i do the same,,
23,['1645520075351289857'],1645520075351289857,subway how about maybe you get proactive and dm me? especially considering it won't let me dm you? ,,
24,['1645519404212387860'],1645519404212387860,"subway subway
$100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
25,['1645519392283787295'],1645519392283787295,"subway subway
$100 order for staff; took 1hr+. items missing. called store 3909; asked for mgr. he yells, talks over, calls me liar/thief. called back from our work phone recording. this how we treat folks? callrecorded customerservice subway badway noway

",,
