,edit_history_tweet_ids,id,text
0,['1623437298489790464'],1623437298489790464,"joebarri subway i swore off jersey mikes when the sando maker had gloves on but was answering phone, making change and building sandwiches. it literally turned my stomach so i had a bag of chips and drink instead."
1,['1623437130029740032'],1623437130029740032,joebarri subway jersey mike is 💯 better product than any of the subway icky stuff😞
2,['1623435570725937153'],1623435570725937153,joebarri subway i don’t  know the subway owner’s politics. i had subway today. i’m assuming i should infer maga? 😬 will look. i just ate at jersey mike’s recently. it was good.
3,['1623434909644890112'],1623434909644890112,joebarri subway exact same for me.
4,['1623434563287674880'],1623434563287674880,"there was a time when subway was my go-to place for lunches near home &amp; on the road. then, i began to notice that the subs were thinner &amp; thinner. even when i asked for more, the staff would throw in another leaf or two. the owner's politics were last straw. jerseymike's 4 me."
5,['1623434460070039554'],1623434460070039554,"tacobellpotatoe subway i was giving them an opportunity to say its all a big misunderstanding, but silence on their part is saying youre right."
6,['1623433688582070273'],1623433688582070273,"decided to go to subway today and try their ""boss"" meatball sub - they should've called it the micro-boss - those meatballs were about the size of ping pong balls! next time i want a meatball sub, i'm going to firehousesubs 👍"
7,['1623429320671924224'],1623429320671924224,"subway you can't order a number 7 or 12 sub from subway app or online, why???? supposed to be 12 not 10 as listed..."
8,['1623427393095446530'],1623427393095446530,how to save calories &amp; money at subway 🥪💪 
9,['1623422425382649858'],1623422425382649858,subway why can't you order from mobile app or online the 7 or 12 subs? not listed! why???
10,['1623420196764385283'],1623420196764385283,"to rent - traditional two bed top floor unfinished flat in cessnock, glasgow. 

subway cessnock onthemarketcom citylets lettingcloud "
11,['1623418832843857922'],1623418832843857922,subway why was this meatball parm destroyed like this? 
12,['1623418353560989696'],1623418353560989696,"rt realdeal3333: 15 year old pushed into a train!
silly place to push someone?…

train subway crash fights fight gore trading stoc…"
13,['1623417577581195265'],1623417577581195265,subway im having a bad day with no money and i want to get a sammie wit the veggie patty but i only have ebt babe 😭😭😭😭 can i have a coupon for free sammie
14,['1623415758834348037'],1623415758834348037,"rt carionetti: a veces hago fotos

photo photography subway work  everydaypeople routine madrid

rusticphotos …"
15,['1623415376448040963'],1623415376448040963,going forward the only form of currency i will give or accept is a coupon for the subway footlong
16,['1623415250287570951'],1623415250287570951,rt calcoboycs: city breaker travel journey train subway bicycle city break citybreak nightlife tourism synthpop music song c…
17,['1623415206243180547'],1623415206243180547,rt calcoboycs: city breaker travel journey train subway bicycle city break citybreak nightlife tourism synthpop music song c…
18,['1623415013959430145'],1623415013959430145,rt calcoboycs: city breaker song music travel journey train subway bicycle city break citybreak nightlife tourism synthpop c…
19,['1623414805754257415'],1623414805754257415,lilbabydavis05 roku doordash subway tacobell alisa deserves to win
20,['1623414474609950721'],1623414474609950721,"good stuff, subway !! "
21,['1623414160930516992'],1623414160930516992,always great to recognize students going great things with some subway.  these students took time out of their busy schedules to make our notredame_mh open house informative. 
22,['1623412847630864398'],1623412847630864398,"subway reporta récord de ventas a nivel global 2022 tras alza de 9.2% 

 "
23,['1623410455661395968'],1623410455661395968,"news release: ""man wanted in a hate-motivated assault investigation, bloor/yonge subway station, update, man arrested""

toronto ttc transit 
blooryonge subway 
assault hatecrime tps 

 "
24,['1623409948209352705'],1623409948209352705,"""man wanted in a hate-motivated assault investigation,
bloor/yonge subway station,
image released""

toronto ttc transit 
blooryonge subway 
assault hatecrime tps 

"
25,['1623408655382065155'],1623408655382065155,"lol yoooo some doordash person stole our food from subway that we didnt even order through doordash. it was through subways mobile order app, and they just took it with them."
26,['1623408379816292352'],1623408379816292352,"rt realestateearth: subway cerró el 2022 con un buen resultado en ventas, gracias a la introducción de nuevos productos. 👇
negocios

htt…"
27,['1623408160043048966'],1623408160043048966,dedededrip subway those are the ones that came out of 3dtoilet's ass.
28,['1623406399161073664'],1623406399161073664,"subway day actually see subway sub even close to resembling this i'll go. now that subway's only selling subs w/ meat freshly daily sliced what'll it do w/ all the unsold batch sliced meat? 
1. feed homeless
2. give employees
3. discount to customers
4. throw away

choose all that apply"
29,['1623406398703804422'],1623406398703804422,subway please do not run out of tuna. your tuna is perfect. it makes me so sad when you’re out.
30,['1623405421808521216'],1623405421808521216,"subway you gotta do better $13 for a foot long sub and then asking for a tip? then toasted, only melted the cheese? my chicken was still cold!!  1 pay your employees, 2 fix your damn sandwich toasters!!! do better!!"
31,['1623404408821235713'],1623404408821235713,i wonder what percentage of dominos and subway sales comes from d3hoops teams pre and post-game orders????
32,['1623403210529468416'],1623403210529468416,why do burgerking subway qdoba and tacobell hate officialftsill and now allow app orders? popeyes does…
33,['1623402586010263552'],1623402586010263552,coastercreech sydrahglasgo subway we could probably pull it off on a disney coaster plus we’re allowed to film on them there!
34,['1623401177772695554'],1623401177772695554,"rt realdeal3333: 15 year old pushed into a train!
silly place to push someone?…

train subway crash fights fight gore trading stoc…"
35,['1623401085493997569'],1623401085493997569,"rt realdeal3333: 15 year old pushed into a train!
silly place to push someone?…

train subway crash fights fight gore trading stoc…"
36,['1623401048286064642'],1623401048286064642,"subway changed the menu that the italian sub is number 4 in support of free and accepted masonry, while the number 4 represents error/miscue. they also gave the number 8 for support of scientology, &amp; the number 8 represents technical difficulty because of sodomy for oto🤷‍♂️subway "
37,['1623399696436760576'],1623399696436760576,"subway travels on january 30, 2023......topoli ward24 scarborough ttc subway transfers "
38,['1623399533227933698'],1623399533227933698,subway just spent 30 minutes between your app and website trying to order a sandwich and couldn’t. subway was my childhood favorite and still love it to this day. very bummed.
39,['1623398737073537027'],1623398737073537027,tsm jerseymikes jimmyjohns and subway could never amount to king mike jerseymikes common mike w
40,['1623396692111290372'],1623396692111290372,subway is quietly rolling out freshly sliced meat across the us - tasting table subway +sandwich fastfood 
41,['1623394664412770305'],1623394664412770305,"new york, new york ✨ subway "
42,['1623394117597143044'],1623394117597143044,i gotta work 1 hour to be able to afford a subway sandwich. that’s crazy
43,['1623393674036973568'],1623393674036973568,subway what in the world is a veggie patty? this look gross 
44,['1623392905825058816'],1623392905825058816,"die menschen von subway müssen im alten ägypten in die lehre gegangen sein. es ist jedesmal wieder ein kämpferisches vergnügen, das essen zu entpacken 🥖🌯😁

sandwich "
