,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
0,['1645533023570628612'],1645533023570628612,"[snkrsリストック]23/04/11 06:03


サイズ： ['16.5', '17']

 snkrs nike スニーカー スニダン",,
1,['1645532992394366977'],1645532992394366977,"nike i'm so glad my air max 90's didn't fit. i returned them before you went and wore women's faces. you're mocking &amp; attacking real women. your message is, men do everything better. you no longer support women, so i no longer buy nike! nike nikenyc nikeservice boycottnike",,
2,['1645532923389677568'],1645532923389677568,"nike dotswoosh i just ordered a pair of nike, the moment they arrived they are being returned. my business with nike is done. being a women is hard and even harder in many places on earth like afghanistan where women can’t even attend school. nike has no respect for women. shame on you nike.",,
3,['1645532923200966656'],1645532923200966656,"[snkrsリストック]23/04/11 06:03


サイズ： ['s']

 snkrs nike スニーカー スニダン",,
4,['1645532914489098240'],1645532914489098240,talk to me nice! 🔥☀️ sneakerhead nike airmax ,,
5,['1645532908982247424'],1645532908982247424,"mummy_central franklygaslit nike nearly 50? you’re a young woman, don’t put yourself down, you are all powerful, *especially* when you’re nearly 50 🔥",,
6,['1645532810147663879'],1645532810147663879,youngre81 atmos_usa nike hufworldwide your welcome and enjoy,,
7,['1645532763360051204'],1645532763360051204,nike “elite team” isn’t so elite if you blatantly tell me you can’t fix it and don’t know when. umm what?!,,
8,['1645532752484204545'],1645532752484204545,"nike dotswoosh nike are making a mockery of over 50% of the world’s population - the women of this world.
it’s now time for the rest of the world to stop buying nike’s overpriced trash.",,
9,['1645532735447109634'],1645532735447109634,i’m gonna be honest here nike … i really love this colorblocking!! 👀 ,,
10,['1645532606769815552'],1645532606769815552,nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence ,,
11,['1645532584456122370'],1645532584456122370,i recently bought nike air force 1 and blazers for my daughter.  i should have known better and listened to my wife. never buying nike products again.  please leave politics out of our lives instead of pushing it in our faces.,,
12,['1645532582631669761'],1645532582631669761,thefabbooklover tampax olayskin nike hater,,
13,['1645532577577701378'],1645532577577701378,tomtomchap olilondontv anheuserbusch lost 800 million in one day of boycottbudlight . gillette lost 80 billion in one quarter. gowokegobroke nike will go bankrupt. silverlinings,,
14,['1645532545256177665'],1645532545256177665,lindag_rn mikeasperrazza tampax nike anheuserbusch ultabeauty exactly,,
15,['1645532545000542219'],1645532545000542219,nike dotswoosh do you make any sports bras that work for women with breasts?,,
16,['1645532499324420098'],1645532499324420098,"the nuke dunk low ""white coconut"" rumored to he releasing soon at a price of $110 via the nike app!🥥 

cop or drop?

nikedunk nikedunklow jordan1 snkrs sneakercon sneakerhead 

follow kckd_media for the latest leaks and info! stay up to date and never miss a drop!👨‍🍳 ",,
17,['1645532473609293834'],1645532473609293834,rt tishawaddell: ummm clears throat so y'all can hear this loud and clear dylan mulvaney was not 🚫 i repeat not the first trans woman to h…,,
18,['1645532424942784515'],1645532424942784515,thefabbooklover tampax olayskin nike oh how i love this scene in “waiting to exhale”!,,
19,['1645532424204587017'],1645532424204587017,sabrina_i20 nike nikebasketball can't wait to see the special shoes for men who pretend to be a little girl.,,
20,['1645532414767403009'],1645532414767403009,mcknight_rich n8frost nike nikestore rjolli007 memobarela beiberlove69 damn. these are freaking gorgeous. 😳🔥🔥🔥😮‍💨,,
