,edit_history_tweet_ids,id,text
0,['1666507615956770819'],1666507615956770819,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
1,['1666077678200397824'],1666077678200397824,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
2,['1666068812217679874'],1666068812217679874,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
3,['1666053880499544064'],1666053880499544064,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
4,['1666020179610943490'],1666020179610943490,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
5,['1666017246253072385'],1666017246253072385,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
6,['1666001731543609344'],1666001731543609344,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
7,['1665981979194531842'],1665981979194531842,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
8,['1665927766611570689'],1665927766611570689,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
9,['1665910572993355776'],1665910572993355776,"elblog no pos....así con ese talento, estudios de kpi y reputación en latam ahora irá por cokezerosugar y pepsiblack ..."
10,['1665857601328881664'],1665857601328881664,"world environmental day
beatplasticpollution 
healthyliving 
cokezerosugar "
11,['1665857008245911556'],1665857008245911556,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
12,['1665845751145021444'],1665845751145021444,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
13,['1665833278786486277'],1665833278786486277,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
14,['1665827076731969537'],1665827076731969537,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
15,['1665820567545544704'],1665820567545544704,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
16,['1665807428649209859'],1665807428649209859,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
17,['1665807216568422405'],1665807216568422405,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
18,['1665800332100681730'],1665800332100681730,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
19,['1665798790962372609'],1665798790962372609,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
20,['1665794880919011328'],1665794880919011328,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
21,['1665787962062192640'],1665787962062192640,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
22,['1665787588886528007'],1665787588886528007,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
23,['1665785350717931521'],1665785350717931521,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
24,['1665784943446839297'],1665784943446839297,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
25,['1665783341310722050'],1665783341310722050,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
26,['1665782624256704513'],1665782624256704513,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
27,['1665780762145091585'],1665780762145091585,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
28,['1665778728289329153'],1665778728289329153,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
29,['1665778424328122369'],1665778424328122369,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
30,['1665774914605916160'],1665774914605916160,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
31,['1665774746112327689'],1665774746112327689,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
32,['1665774351189172224'],1665774351189172224,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
33,['1665773607220289536'],1665773607220289536,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
34,['1665772330184835075'],1665772330184835075,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
35,['1665771704847589382'],1665771704847589382,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
36,['1665771197173313537'],1665771197173313537,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
37,['1665770097951010816'],1665770097951010816,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
38,['1665769072645079041'],1665769072645079041,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
39,['1665768766167302145'],1665768766167302145,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
40,['1665768374503104512'],1665768374503104512,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
41,['1665768217938149376'],1665768217938149376,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
42,['1665768158551060482'],1665768158551060482,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
43,['1665767868703580160'],1665767868703580160,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
44,['1665767065364439040'],1665767065364439040,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
45,['1665766325715714051'],1665766325715714051,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
46,['1665766224494567425'],1665766224494567425,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
47,['1665765510552645634'],1665765510552645634,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
48,['1665765285276577794'],1665765285276577794,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
49,['1665765226044702722'],1665765226044702722,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
50,['1665764885513240576'],1665764885513240576,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
51,['1665764827405467654'],1665764827405467654,"rt israel_obasola: who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
52,['1665764598295699458'],1665764598295699458,"who took my coke zero? 
whotookmycokezero
takeataste cokezerosugar "
53,['1665488770093785088'],1665488770093785088,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
54,['1665444749715599363'],1665444749715599363,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
55,['1665428014849568771'],1665428014849568771,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
56,['1665145539686457344'],1665145539686457344,chris__edwards dukebase radio sponsor plug. cokezerosugar 
57,['1664792033003806721'],1664792033003806721,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
58,['1664760076861833217'],1664760076861833217,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
59,['1664719603975565312'],1664719603975565312,enter for your chance to win free movies for a year from cokezerosugar! contest open to can   (ref) takeataste giveaway sweepstakes sweeps competition comp prizes coke cokezero
60,['1664699209856045069'],1664699209856045069,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
61,['1664618568300863491'],1664618568300863491,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
62,['1664610826467041281'],1664610826467041281,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
63,['1664601359201566720'],1664601359201566720,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
64,['1664569043368517633'],1664569043368517633,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
65,['1664461752346591233'],1664461752346591233,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
66,['1664394802966716419'],1664394802966716419,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
67,['1664357162095722506'],1664357162095722506,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
68,['1664305082911932427'],1664305082911932427,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
69,['1664291975791558661'],1664291975791558661,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
70,['1664251579602460673'],1664251579602460673,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
71,['1664247589703675905'],1664247589703675905,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
72,['1664236961874292744'],1664236961874292744,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
73,['1664232430838984705'],1664232430838984705,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
74,['1664120394863845376'],1664120394863845376,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
75,['1664068755939291143'],1664068755939291143,"rt sabinus1_: sabinus don finally buy fridge but my village people still dey follow me. 
who took my coke zero! 😂😂
whotookmycokezero 
ta…"
