,edit_history_tweet_ids,id,text
0,['1666596929961095168'],1666596929961095168,johnlukenyc dietcoke looks delicious
1,['1666595051953090562'],1666595051953090562,johnlukenyc dietcoke that’s looks so yummy 🤤
2,['1666592631751602178'],1666592631751602178,"rt bigmamasbins: dads will dig this wireless security camera.  for more details or to order today, copy/paste or click the link below
👇👇
h…"
3,['1666592609140080640'],1666592609140080640,"rt bigmamasbins: top deal 45% discount gift ideas for dads and grads.  for more details or to order today, copy/paste or click the link be…"
4,['1666592590970384385'],1666592590970384385,"rt bigmamasbins: congratulations are in order! for some thoughtful inexpensive gift ideas  copy/paste or click the link below
👇👇
https://t…"
5,['1666587584246738946'],1666587584246738946,"congratulations are in order! for some thoughtful inexpensive gift ideas  copy/paste or click the link below
👇👇
 
art beautiful instagood love fashion photooftheday ad sponsored happy dietcoke amazondeals bigmamasbins blackart"
6,['1666587437785665538'],1666587437785665538,johnlukenyc dietcoke oregano is a great add!
7,['1666586883860619265'],1666586883860619265,johnlukenyc dietcoke you missed a spot 😂 looks great!
8,['1666586644944756736'],1666586644944756736,johnlukenyc dietcoke good night! friend john. happy wednesday to you and your family.🙏 hugs.😇🌛
9,['1666585884739633155'],1666585884739633155,"dinnertime peppornipizza 🍕 🍕 
oregano 🍕🍕🍕
&amp; dietcoke yummy 😋 😋😋😋 "
10,['1666585448209317889'],1666585448209317889,"top deal 45% discount gift ideas for dads and grads.  for more details or to order today, copy/paste or click the link below
👇👇
  art beautiful instagood love fashion photooftheday ad sponsored happy dietcoke amazondeals bigmamasbins blackart"
11,['1666584210747056129'],1666584210747056129,"dads will dig this wireless security camera.  for more details or to order today, copy/paste or click the link below
👇👇
  
photooftheday fashion love instagood beautiful ad sponsored art happy dietcoke amazondeals bigmamasbins blackart"
12,['1666583357742891010'],1666583357742891010,proana thinspo mealspo dietcoke ednosheeran ednotsheeran anashit 
13,['1666575600142929920'],1666575600142929920,"dads &amp; grads will dig prime video channels and the trial is free! for more details or to order today, copy/paste or click the link below
👇👇
  

art beautiful instagood love fashion ad sponsored happy dietcoke amazondeals bigmamasbins"
14,['1666573491464814596'],1666573491464814596,dietcoke flows thru my veins at this point. i feel i deserve some merch. i should have some swag seeing i prob’ly am keeping this company afloat. 
15,['1666572104400003072'],1666572104400003072,this means dietcoke can still sponsor me based on my insane consumption on stream? word 
