,edit_history_tweet_ids,id,text
0,['1666576195335380992'],1666576195335380992,rt lucasj8: cokezero 👇👇👇
1,['1666545360519438337'],1666545360519438337,carerphil cokezero cocacola_gb thank you phil for your kind vote and support 
2,['1666533728531673095'],1666533728531673095,madcrazysi woop woop that's a fizztastic poll i'm going for cokezero cocacola_gb it's brilliant 🥤 
3,['1666530871015518208'],1666530871015518208,cokezero sponsor this man 
4,['1666324525523378177'],1666324525523378177,cokezero worldofcocacola swirecc why is this not a thing in the us? 
5,['1666258498949115904'],1666258498949115904,pepsi sanbenito applemusic only if you like the taste of cough medicine! cokezero rules
6,['1666239147332493312'],1666239147332493312,imagine banning cokezero (coke with no sugar)
7,['1666214763284537348'],1666214763284537348,roguexfps give me cokezero and i'm cool
8,['1666214163377537024'],1666214163377537024,how does it feel to be powerless to stop me? cokezero pepsimax 
9,['1666155045841141786'],1666155045841141786,cokezero cokestudio am i being stupid? where's the code? qt code just takes you to the website? 
10,['1666134281461149699'],1666134281461149699,"sonicdrivein diet coke is great and all, but have you tried cokezero ?"
11,['1666113469781868544'],1666113469781868544,i learned from cokezero that sampling and using your customer as a channel is another under used tactic. you should have given me digital coupons to share! 😃
12,['1666109374610169858'],1666109374610169858,"mexican and cokezero.
diablo on ps5console. it’s spring. age 45.  
rest of the data is correct.
diablo4 "
13,['1666017380693319680'],1666017380693319680,eliegoldschmidt i can't resist an ice cold cokezero
14,['1665828660782198784'],1665828660782198784,"pepsi what have you done!!! pepsi now tastes worse than cokezero, my go to drink is now gone, full fat coke is now my only option pepsi coke"
15,['1665563886312128512'],1665563886312128512,cokezero i’ve been on the coke zero diet for two weeks. left was me 2 weeks ago this is me now…. i’ve lost 255lbs! i’m kinda concerned what do i do😰 
16,['1665543924910538762'],1665543924910538762,"darrenatics' hairstyle sa 10th anniv concert ni darren

darren espanto2001
cokezero tikmanna
cocacolaph "
17,['1665526139924652032'],1665526139924652032,hidingbun dunno i dontsee  uin cokezero
18,['1665520358512885765'],1665520358512885765,"matthewqueen84 cokezero exactly like the person who gave a recipe 1 star, while complaining that she and her husband did not like 2 of the 3 ingredients. why the 1 star?"
19,['1665486845352767489'],1665486845352767489,"as a marginally trained professional, i think drdoug16 has a cokezero problem. however, his problem relates to not having unlimited amounts.
ropedropradio"
20,['1665473220361994240'],1665473220361994240,tropicana cranberry juice + cokezero + jamesonwhiskey = drpepper somehow …
21,['1665397270618025984'],1665397270618025984,matthewqueen84 cokezero give jim beam and coke a try. also jim &amp; ginger (beam and ale).
22,['1665375276883222531'],1665375276883222531,"rt cocacola_ind: part of all your happy moments! cokezero with zero calories &amp; zero guilt.
happy international day of happiness 🥰
 
coca…"
23,['1665372483996864513'],1665372483996864513,i don’t really care for jack and coke. cokezero has a canned jack and coke. i tried it bc everyone else was. it tastes like jack and coke. i couldn’t finish it. 
24,['1665297769907765248'],1665297769907765248,"rt mmdesi15: more blessings to come for d!

congratulations! you deserved this bebe! labyuuuu

darrens bestcokeever
darren espanto2001
…"
25,['1665215947433541634'],1665215947433541634,"midnight yet wide awake. 

it’s been a long time since i’ve pulled an all nighter. 

hello, netflix and cokezero and of course thefunrun"
26,['1665171352507015169'],1665171352507015169,"donaldjtrumpjr you must have been busy snorting when they showed the sandbag that was left out on the stage, cokezero."
27,['1665168554319069185'],1665168554319069185,"i bet they use it in cokezero
"
28,['1665125403500093440'],1665125403500093440,"rt darrentrendsofc: we just can't get over with darren's amazing moves in this coke zero ad!

darrens bestcokeever
darren espanto2001
c…"
29,['1665124252348186624'],1665124252348186624,newjeans_loop bring this stateside plz cokezero
30,['1665065188805038084'],1665065188805038084,ty cokezero … good to be a veteran!! lukeafb commissary 
31,['1665052495624781824'],1665052495624781824,"rt jelaravillamor: swerte ni ate girl tinitigan ba naman ni espanto ng ganito! kung ako siya baka ma tameme ako ahahahh

darrens bestcokee…"
32,['1665033334513336321'],1665033334513336321,"rt lilybeth140: d’ effect on d! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph

 "
33,['1665025627718660097'],1665025627718660097,worldofcocacola how should i enjoy this empty can of unopened cokezero 
34,['1665023795881472000'],1665023795881472000,"rt lilybeth140: pwede ng sponsor sa concert ni d! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph

 https://t.…"
35,['1665023655410106368'],1665023655410106368,"rt lilybeth140: d’ effect on d! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph

 "
36,['1665023047898636291'],1665023047898636291,"rt lilybeth140: parang all the way down!

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph

 …"
37,['1665011694555508737'],1665011694555508737,"rt cs_angge: sarap ulit ulit tapos habang pinapanuod umiinom din ng coke 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
…"
38,['1665011658127978497'],1665011658127978497,"rt ilovedarren_24: yes! coke zero ad is out now! ang ganda ng video at ang galing galing ni d! congrats d! job well done!! 

darrens bestc…"
39,['1665007319166377985'],1665007319166377985,"rt thedarrenatics2: we love his smile, his voice, his grooves, his warmth. his charm, 
his attitude… and now…
his best coke ever! 

darren…"
40,['1665004368477691906'],1665004368477691906,"rt mmdesi15: more blessings to come for d!

congratulations! you deserved this bebe! labyuuuu

darrens bestcokeever
darren espanto2001
…"
41,['1665004334466097152'],1665004334466097152,"rt ilovedarren_24: apakacutee !! ang galing galing mo.d! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph https…"
42,['1665000947096104962'],1665000947096104962,rt jelaravillamor: promise ko talaga sa sarili ko after sa pagiging studyante ko pupunta talaga ako ng manila para mag darrening sa concer…
43,['1664991093644222465'],1664991093644222465,"rt ilovedarren_24: ang pogi po talaga!!

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph "
44,['1664990192128630784'],1664990192128630784,"rt ilovedarren_24: our darren and his best coke ever! best endorser ever!! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna…"
45,['1664989993767432193'],1664989993767432193,"rt ilovedarren_24: apakacutee !! ang galing galing mo.d! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph https…"
