,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
0,['1666598674552463360'],1666598674552463360,wendys lemturner and 295 in jax slackers with no other customers stent out refried chicken and cold fries. the drinks was good.,,
1,['1666597614551461891'],1666597614551461891,"jerseymikes doordash wendys fail, jerseymikes “temporarily closed” at 5:00 exact",,
2,['1666597541167652864'],1666597541167652864,"wendys getting rid of the vanilla frosty  for the summer is the worst thing u could do☹️ no body gets chocolate, get rid of that😒",,
3,['1666597281607426049'],1666597281607426049,"wendys _irynaki_ 🐰
onlyfans twitch streamer enjoybeauty❣️
",,
4,['1666596889288929285'],1666596889288929285,wendys roast me,,
5,['1666596645625032707'],1666596645625032707,wendys ordered a sandwich with a specific dietary request and something else was delivered i can’t even eat. i don’t even think you guys have the pretzel bacon pub with chicken?,,
6,['1666596532328570880'],1666596532328570880,wendys ,,
7,['1666595432376545282'],1666595432376545282,wendys how is your day?,,
8,['1666594486695219200'],1666594486695219200,"kontagiousbayo wendys i hope so because sometimes i need a dave's triple, fries, and a frosty after 11pm.",,
9,['1666593926218924033'],1666593926218924033,sh0ckz_ juanad33 wendys it’s way to fake tasting,,
10,['1666593730378498048'],1666593730378498048,juanad33 wendys they made a bad decision 😭 good thing it’s only for the summer,,
11,['1666593599272914944'],1666593599272914944,"wendys doordash why is it that when i order food through the  wendy’s app and add instructions for the driver to add a couple of sides of mayonnaise for dipping fries in, i never get them with my order? frustrated simplerquests",,
12,['1666592789830795265'],1666592789830795265,darkfairy_vomit wendys right!! idk why they can’t sell all 3 at the same time or even just get rid of the chocolate or something. why does the vanilla flavor always have to be replaced!! 😭,,
13,['1666592769479933952'],1666592769479933952,darkfairy_vomit juanad33 wendys what’s wrong with strawberry quick?,,
14,['1666592559907627008'],1666592559907627008,juanad33 wendys thats what im saying it tastes like strawberry quick :( but like a bad version of it,,
15,['1666592265936961542'],1666592265936961542,wendys please work on shift lead customer service iota store number 3290 very rude,,
16,['1666591354455982082'],1666591354455982082,cbulldogtrader wendys this is about to get that wendy's in trouble 💀🔥,,
17,['1666591230031982592'],1666591230031982592,wendys oh i thought i saw curly fries for a sec,,
18,['1666589960751783936'],1666589960751783936,wendys ,,
19,['1666587653754454016'],1666587653754454016,wendys ,,
20,['1666587473592369152'],1666587473592369152,wendys i'm just wondering if it's in your employee handbook to make drive thru take a long as possible? or is this like ny state thing bc no matter where i go the wait to get thru drive thru is like i could've just gone home and cooked at this point😳,,
21,['1666587452843388928'],1666587452843388928,wendys roast me and compare your nuggies to mcdonald’s,,
22,['1666583849785081856'],1666583849785081856,clg419 conch_vol wendys make it buffet style 🤤,,
23,['1666583191648452608'],1666583191648452608,"not entirely what i was hoping for.
_aphmau_ jasonbravura wendys ",,
24,['1666582799275417600'],1666582799275417600,saltygrandpa destiny2team what if the exotic was dropped after purchase of a wendys™️ pretzel pub bacon spicy chicken sandwich with a medium fries and drink? seems pretty spread out to me…,,
25,['1666582418411728899'],1666582418411728899,"lonestardevil doordash jerseymikes wendys this is honestly some very valuable insight, &amp; gives some great context i wasn't expecting to be honest. so thank you. 

so then, pretty much it would be some stores just aren't or won't partake in the promotion then if i assume correctly yes???.",,
26,['1666582002626174977'],1666582002626174977,"ctferrell conch_vol wendys not the""v"" ?🤔🤭",,
27,['1666581905679036416'],1666581905679036416,"robrang was it wendys or jackbox w ""where's the beef"" in the 80s.",,
28,['1666581897424633858'],1666581897424633858,wendys still waiting on my refund that your customer service managers promised. why do you hate your customers?,,
29,['1666581473145569280'],1666581473145569280,"crashsmash01 doordash jerseymikes wendys this is a store thing, not a doordash thing. my store stay opened, but will probably close doordash ordering during promotions for tomorrow.  long lines

local stores don’t have a contract that requires them to work if they don’t want to. i don’t know how that would work, legally",,
30,['1666581425297006594'],1666581425297006594,wendys 2/2 and their website says drive thru is open at 630am .this is false. try 8am most of the days i used to try. notice i said used to. i give up. i cant be the only one complaining about 301 n. beneva rd sarasota fl. i feel bad for wendys corp.,,
31,['1666581411090821123'],1666581411090821123,clg419 conch_vol wendys tonight…we dine at the “y” ,,
32,['1666580711266983936'],1666580711266983936,"wendys i feel you should be made aware that the store at 301 n. beneva rd. sarasota is the singlemost mismanaged one ive ever exoerienced. this is at least tge 2nd time ive attempted to order a meal only to be told ""sorry no sodas today only lemonade"" no soda? 1/2",,
33,['1666580694917873664'],1666580694917873664,wendys shitty ** 🙄,,
34,['1666580577355722755'],1666580577355722755,wendys i wish wendy's was next to me in van nuys. i just have a shifty mcdonald's,,
35,['1666580020230344704'],1666580020230344704,weloveyouzahir bro was looking for the biggie bag and got this 💯 wendys,,
36,['1666579016403255299'],1666579016403255299,rocco_botte wendys so jealous of the gokai gear,,
37,['1666578405104467969'],1666578405104467969,wendys where my fries. my nigga,,
38,['1666578401317072896'],1666578401317072896,wendys you still owe me that roast from january 11th.,,
39,['1666578164729118720'],1666578164729118720,wendys why did you take away vanilla frostys for strawberry milk shakes these things are ass don’t even taste like a frosty,,
40,['1666578125482782721'],1666578125482782721,and my mfn chips stale i shouldve just went to wendys and got me a $5 biggie bag,,
41,['1666577895219777536'],1666577895219777536,wendys roast our podcast... we dare you!,,
42,['1666577724666781698'],1666577724666781698,wendys sure. thanks for the reply.,,
43,['1666577523671543808'],1666577523671543808,pirate021683 wendys bout to sue y’all,,
44,['1666577452418596866'],1666577452418596866,i’m sooooooooo drunk wendys,,
45,['1666576642481745922'],1666576642481745922,vickiebrown1958 shakeyacres lucille77316971 holeefu55204765 primal1screams liszewsk gabssydney26 noobamac meoldfartus 1boysfan libbytard6 joelarocco10 jackblaine3 kathyshowe71335 a baconator and fries at wendys was $12 and change last week.,,
46,['1666576570071552000'],1666576570071552000,rocco_botte wendys this might be my favorite rocco tweet,,
47,['1666576328357736449'],1666576328357736449,"rt trustwallet: wendys when 'i'll just have one fry' turns into eating the entire family meal.

oops.",,
48,['1666576263597678592'],1666576263597678592,rt trustwallet: wendys you should mint that as an nft and prolly store it in your trust wallet. jus sayin,,
49,['1666576213870264321'],1666576213870264321,nbcsgiants wendys better than most predictions😂😂😂,,
50,['1666575907740368896'],1666575907740368896,wendys my family hates your food but i love it.,,
51,['1666575825565622273'],1666575825565622273,wendys torrie_valdes read dm,,
52,['1666575608766431233'],1666575608766431233,"wendys my local restaurant is closed, there is a non-legible paper sign saying systems are down and no one will come to the door - i have a mobile order that can not be refunded. cars starting to pile up in drive thru unaware. ",,
53,['1666574735000621056'],1666574735000621056,wendys he better lol,,
54,['1666574467160481794'],1666574467160481794,"wendys the wendy's in dresher, pa really needs to be put out of its misery. i simply can't get takeout from there, as something is wrong every single time. this time, the wrap with no ranch had ranch all over it. so much for dinner. this stuff happens every time. ridiculous.",,
55,['1666574007347339264'],1666574007347339264,"hey wendys we have your new spokes kid for the strawberryfrosty 
it’s an obsession! wendys ",,
56,['1666573606652870656'],1666573606652870656,rt trustwallet: wendys pretty sure we'd just bash vr headsets together,,
57,['1666573592929214464'],1666573592929214464,why is wendys bbq sauce liquid crack?,,
58,['1666572828647251969'],1666572828647251969,"rocco_botte wendys goodbye, and
good.
bite.
bang.",,
59,['1666572618986835968'],1666572618986835968,"wendys stop dipping fries in the frosties
my cousins dip their chicken in them help",,
60,['1666572022967681032'],1666572022967681032,"hey wendys, why does your app not let people sign in?",,
61,['1666570677338472448'],1666570677338472448,rt trustwallet: wendys the limit does not exist?,,
62,['1666569848409792512'],1666569848409792512,rt trustwallet: wendys roast us if you can,,
63,['1666569353314152448'],1666569353314152448,wendys put the grilled chicken sandwich back on the menu. right. now.,,
64,['1666568437265465346'],1666568437265465346,"doordash jerseymikes 

heys...it's 5:09pm my time...i went to go submit my order...&amp; guess what happened, out of nowhere...almost as if it was conviently planned or something...they closed the store temporally...

this is just as bad as the wendys promotion that was like this. ",,
65,['1666567919411798017'],1666567919411798017,rocco_botte wendys summon the 4-for-4 megazord,,
66,['1666567754101530625'],1666567754101530625,"spotted canned wendys chili at walmart a few minutes ago... chili wendy walmart elonmusk twitter 

scanned the can for price... 🌻👀 ",,
67,['1666567747390652416'],1666567747390652416,rocco_botte wendys the white castle pants!,,
68,['1666567693959413761'],1666567693959413761,wendys just found this on your website… ,,
69,['1666567614121009152'],1666567614121009152,rocco_botte wendys we need wendy zord power now,,
70,['1666567286080286720'],1666567286080286720,rocco_botte wendys 🍓hell yeah! 🍓 ,,
71,['1666567184607330305'],1666567184607330305,jerseyfreshest henlips wendys wendy's? she's a dyke. thought everyone knew,,
72,['1666566369054457858'],1666566369054457858,wendys nah id rather eat mcdonalds,,
73,['1666566350544809984'],1666566350544809984,wendys why are you ignoring me please wendys,,
74,['1666566342504329218'],1666566342504329218,rocco_botte wendys food influencer-zord power!,,
75,['1666565855268700162'],1666565855268700162,wendys got the biggie bag today and was disappointed.  everything was cold. 👎,,
76,['1666565451319762944'],1666565451319762944,dave thomas henshin….!! strawberry frosty resurrection… gokai wendy’s!!! wendys ,,
77,['1666565333673553920'],1666565333673553920,wendys sounds like a perfect summer treat 🤤,,
78,['1666564741420969984'],1666564741420969984,that guy - right on time wendys ,,
79,['1666564399077769216'],1666564399077769216,nexjql wendys berkleecollege she looks like your typical boomer that's pissed off at society jacking the fucking audacity to change before her eyes before she goes [redacted],,
80,['1666564202452905988'],1666564202452905988,"blushiefae its about time they stopped cutting corners!
wendys would be proud of the effort. 😝",,
81,['1666563688201871360'],1666563688201871360,"lonewolfaniro wendys berkleecollege if it's the woman, good gawd. these people are always so angry.",,
82,['1666563660485894144'],1666563660485894144,just like mcdonald’s food  wendys,,
