,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
0,['1643646523329196033'],1643646523329196033,store manager in here calling people stupid and everything wendys,,
1,['1643646380097798145'],1643646380097798145,beardowncuz wendys robbyberger brilldumbshow gotta get dom a matching junior bacon cheeseburger bag!,,
2,['1643646324334637058'],1643646324334637058,wendys y’all better come get this free now!!!! shein is giving away $150 right now! click my link to receive it! ,,
3,['1643645116131803137'],1643645116131803137,wendys y'alls patties are small af now and overpriced. wendys used to be in my top 3 ff restaurant and never going back until something changes.,,
4,['1643645071584051200'],1643645071584051200,wendys this is very fucking unacceptable ,,
5,['1643644778935107587'],1643644778935107587,ronsexsmith boise has the best wendys,,
6,['1643643587064745986'],1643643587064745986,glitchedheart wendys i like the sauce even without the heat,,
7,['1643643173107802113'],1643643173107802113,now only if the wendys ghost pepper sauce had any spice to it what so ever. it’s extremely bland. ,,
8,['1643642838154878979'],1643642838154878979,wendys do you offer the chicken wrap with crispy chicken or is it just grilled?,,
9,['1643642299325337600'],1643642299325337600,bigbrotherca wendyscanada santino convinced me to eat wendy's today! wendys bbcan11 goodadvertising,,
10,['1643641541095997440'],1643641541095997440,"wendys hello, can i join in china?",,
11,['1643640535653965827'],1643640535653965827,beardowncuz wendys robbyberger brilldumbshow leave it in the cave,,
12,['1643640117582790657'],1643640117582790657,"woodenaward wendys caitlinclark22 iowawbb laac congratulations, caitlin clark! winning the john r. wooden award is a huge accomplishment. speaking of wins, have you checked out temu's giveaway activity? you could snag some great deals!  ",,
13,['1643639952675311616'],1643639952675311616,‘i was so excited to try it! i was hoping it would be like the discontinued mcdons snack wrap’: customer receives empty wrap from wendy’s - the daily dot wendys fastfood ,,
14,['1643639237949136896'],1643639237949136896,anonymous_36937 wendys bro came back almost 4 years later ☠️ respect 🙏🏻,,
15,['1643638861791211520'],1643638861791211520,maskedmaniacxxx while their burgers aren’t as good since they changed them a few years ago wendys has the best twitter so…,,
16,['1643637431084646403'],1643637431084646403,web4o lhm1 i performed a one man show of reciting shrek 2 from memory. ran for 4 weeks in our local wendys parking lot,,
17,['1643637396246765568'],1643637396246765568,wendys mcdonalds 23xiracing daytona nascar toyotaracing bubbawallace 👏👏👏👏👏👏👏👏,,
18,['1643637317930991619'],1643637317930991619,maskedmaniacxxx wendys. no question about it.,,
19,['1643637140646133760'],1643637140646133760,wendys please make the peppermint frosty a forever thing. extra pretty please with a frosty lid on top??? 🤞🏻,,
20,['1643637116839100424'],1643637116839100424,wendys that looks yummy,,
21,['1643637017786429440'],1643637017786429440,potatoguy353 wendys this is how you get blocked by wendy's,,
22,['1643636763083128832'],1643636763083128832,wendys give me my blood now ,,
23,['1643636716840837121'],1643636716840837121,wendys will you open one store in spain ??,,
24,['1643636610779447296'],1643636610779447296,wendys been waiting since 5 am to eat,,
25,['1643635327024652290'],1643635327024652290,"ratioscrazy context? 
i dont understand what wendys that ugly girl with red hair said",,
26,['1643633796594425861'],1643633796594425861,"⁦⁦wendys⁩ - almost inedible. why is it always getting worse and never getting better. 
(it’s hard to believe it’s that difficult to turn a profit and also sell a decent product.) ",,
27,['1643633458688987136'],1643633458688987136,wendys not in fast food that's for sure,,
