,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
3,['1652062357344976898'],1652062357344976898,"cocacola bro, look at momo from the k-pop group jypetwice 

",,,en
6,['1652062036644208642'],1652062036644208642,"cocacola needs to bring back this 1899 look, just for commemoration it looks good ",,,en
7,['1652061905178050563'],1652061905178050563,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
9,['1652058615879020545'],1652058615879020545,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
10,['1652057981528203264'],1652057981528203264,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
11,['1652057688421875714'],1652057688421875714,ivanovskisberet cocacola im crying this is so cute,,,en
12,['1652057113747759110'],1652057113747759110,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
13,['1652054643525001217'],1652054643525001217,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
15,['1652053995978989570'],1652053995978989570,"rt en_sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤…",,,en
16,['1652053352694292480'],1652053352694292480,knowledge is power! ccswb recently donated 50 laptops to the bgcmcallen for their education and stem programming. several of the laptops will also be used by the newly established boys and girls club of uvalde – the first club in their area! cocacola givingback mcallen ,,,en
17,['1652053184930562049'],1652053184930562049,"gender strategist &amp; author jeffery tobias halter leads ywomen, which engages men in womensleadership advancement. 

the former director of diversity strategy for cocacola is one of the keynotes at the 2023 ican women's leadership conference on may 17: . ",,,en
18,['1652051746129051649'],1652051746129051649,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
19,['1652051665703387137'],1652051665703387137,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
20,['1652051609608699904'],1652051609608699904,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
21,['1652051600268042240'],1652051600268042240,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
23,['1652051527240933376'],1652051527240933376,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
24,['1652050888574246915'],1652050888574246915,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
25,['1652050659175198720'],1652050659175198720,"“in &amp; out” (10” x 8”) mixed media on textured paper. 28 april, 2023. click link for the full artist statement ✈️👣



mixedmedia mixedmediaart cocacola airplaneart arttherapy ",,,en
26,['1652050199412453379'],1652050199412453379,"coca-cola's competitive content creation strategy:

👉🏼  read the full story 



influencermarketing influencer cocacola contentstrategy

worldofcocacola ",,,en
27,['1652049936228270087'],1652049936228270087,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
29,['1652049138630926365'],1652049138630926365,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
30,['1652048814193123347'],1652048814193123347,what tastes better? cocacola imaceleb,,,en
31,['1652048762523492383'],1652048762523492383,"japerry jerseymikes cocacola homedepot is... is this sponsored content, jakob? 🤣

(your kid remains adorable)",,,en
32,['1652048741073821700'],1652048741073821700,"rt en_sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤…",,,en
33,['1652047785565323266'],1652047785565323266,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
35,['1652047474373042213'],1652047474373042213,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
36,['1652047054611292162'],1652047054611292162,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
37,['1652046889729007653'],1652046889729007653,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
38,['1652046847064547346'],1652046847064547346,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
40,['1652046466045583376'],1652046466045583376,"rt en_sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤…",,,en
41,['1652046075606212624'],1652046075606212624,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
42,['1652046034757885956'],1652046034757885956,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
43,['1652046015317286920'],1652046015317286920,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
44,['1652045700329504768'],1652045700329504768,the best way to enjoy jerseymikes .. with cocacola from homedepot next door! ,,,en
45,['1652045631286812673'],1652045631286812673,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
46,['1652045434163011584'],1652045434163011584,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
47,['1652045371755864077'],1652045371755864077,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
48,['1652045312033169413'],1652045312033169413,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
0,['1652045093048557622'],1652045093048557622,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
1,['1652044368897777666'],1652044368897777666,"rt sscnapoli: open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕…",,,en
