,edit_history_tweet_ids,id,text,lang
2,['1652068362833231872'],1652068362833231872,nike giannis_an34 nikebasketball post kd lifetime contract &amp; stop posting this first round exit bum toma play in team,en
3,['1652068354348421120'],1652068354348421120,ashhankashif remy_jac nike giannis_an34 nikebasketball omg duality 😵,en
4,['1652068345632505858'],1652068345632505858,nike giannis_an34 nikebasketball what happened to “just do it” 😂😂😂😂😂😂,en
5,['1652068327148199942'],1652068327148199942,bravo to the nike marketing team capitalizing on a moment. 👏🏽 sportsmarketing ,en
6,['1652068323658547202'],1652068323658547202,rt kei_anna01: full circle. i remember taking this picture at boo williams  tournament allohio nike ,en
8,['1652068182948040704'],1652068182948040704,"nike giannis_an34 nikebasketball it reminds me this michael jordan's commercial. ""failure"".
",en
9,['1652068174379008002'],1652068174379008002,inarohs alexqtorres xyzxyzxyz09 nike giannis_an34 nikebasketball sorry but harden and kyrie would have sat out instead of putting their body in the line like giannis that alone makes him a 🐐,en
10,['1652068166833414144'],1652068166833414144,rt k9_itsiant: first look shoutout idk for his 1 of 70 airmax 97!! shoe is super sick ty so much!! nike idk fnf airmax sneakers http…,en
11,['1652068158759370753'],1652068158759370753,nike giannis_an34 nikebasketball giannis the worst thing to happen in american sports history man,en
13,['1652068065813643265'],1652068065813643265,nike need to start making scrubs for us healthcare workers nike,en
14,['1652068061694816257'],1652068061694816257,alts_anonymous nike a lot.,en
16,['1652068032494153728'],1652068032494153728,ochohades alexqtorres xyzxyzxyz09 nike giannis_an34 nikebasketball no way you making an excuse for this ,en
17,['1652067975480897536'],1652067975480897536,majorblaz3r nike haven't heard from indigo_herz 😆,en
18,['1652067935416877057'],1652067935416877057,nike giannis_an34 nikebasketball this is pussy shit.,en
19,['1652067888822378509'],1652067888822378509,mzesimn nike giannis_an34 nikebasketball ik but i’m just going by what they are saying,en
20,['1652067886687563776'],1652067886687563776,"nike giannis_an34 nikebasketball this is embarrasing, giannis pulled a blinder on folks, ofc its a sporting failure, whats the point in sports if results dont matter",en
21,['1652067875010535425'],1652067875010535425,remy_jac nike giannis_an34 nikebasketball kobe literally said losing in 2008 was a failure but ok,en
