,edit_history_tweet_ids,id,text,lang
1,['1652070851360038913'],1652070851360038913,reporterroblang starbucks wbalnewsnow happy birthday!!!,en
3,['1652070654924165121'],1652070654924165121,"dear starbucks, yet the cutest ",en
4,['1652070440192311303'],1652070440192311303,"i am a starbucks barista who doesn’t qualify for all the wonderful benefits you keep hearing about. we want the ‘different kind of company’ that howard schultz promised but failed to deliver



union workersunion unionizing foodservice hospitality",en
5,['1652070427928174592'],1652070427928174592,"our 3rd graders got to spend reading class today at starbooks cafe while enjoying an “iced historical fiction lemonade”! managers, mrs. mongar &amp; miss hilleman got ⭐️⭐️⭐️⭐️⭐️ reviews!! gilbertpride engagement starbucks ",en
6,['1652069794408202240'],1652069794408202240,starbucks why does my tweet keep getting deleted about you taking my 200 stars away when it was your fault the code was public?!  whydidyoutakemy200stars ,en
7,['1652069751512809472'],1652069751512809472,we had a great time at “coffee with a cop” event starbucks located at 5510 spencer hwy in pasadena! the place was packed from the moment we arrived! we were happy to engage with so many citizens of harriscounty! for more pics ➡️  👮🏻‍♀️ ☕️ ,en
9,['1652069574970310656'],1652069574970310656,birthday freebies funny enough this is my second time ever in my life to have had krispy kreme donuts thank you krispykreme for my free doughnuts makes a nice gift to know i just turned 40 today… 40today krispykreme starbucks ,en
13,['1652069049575014402'],1652069049575014402,"hey rei, traderjoes, starbucks, and amazon, stop your stupid bullshit and pay attention to this. ",en
14,['1652068485961330688'],1652068485961330688,"prepping for tests are never fun, unless you’re lucky enough to have juanita03795641 as your 5th grade teacher and she converts your surroundings into starbucks 🤩🤩🤩 hisdmemorialpto wearememorialproud blessedwiththebest readyforstaar ",en
16,['1652068260307673088'],1652068260307673088,starbucks i really just can’t believe you guy’s discontinued raspberry syrup like for what reason,en
17,['1652068160743395328'],1652068160743395328,my addiction‼️ starbucks extraexpresso adabofcinnamon ,en
18,['1652067980648529920'],1652067980648529920,kat at starbucks spoils me i love her sm. this is the only way to serve a frappuccino ordered without whipped cream: fill up the dome lid with the leftover frap instead of dumping it down the sink and wasting perfectly good vanilla coffee smoothie ,en
21,['1652066777864478723'],1652066777864478723,"rt sbworkersunited: starbucks' new 'mission':

""with every cup, with every conversation, with every community– we nurture the limitless p…",en
22,['1652066381645467648'],1652066381645467648,starbucks  why is drive-thru only an option. its the closes on and your store is close for walk in and ordering online. badservice ,en
23,['1652066247469563907'],1652066247469563907,"this location always has something going on, they always have a line in drive thru. the fact that they are closed in the inside or always have some other type of issue is just ridiculous. it’s always this location with some type of issue starbucks. worstlocationinhouston ",en
26,['1652065913024151556'],1652065913024151556,"3rdbeardy willresistadmin tylerpager maddowblog michaelscherer starbucks yes you must accommodate us or we will cancel you for your inconsiderate behavior

and that is ok",en
29,['1652065425306394624'],1652065425306394624,"rt im_jdone: i’m aware of what i’ve said about this meme, but give me a pass on this one.
goat goatmom starbucksicedcoffee starbucks …",en
30,['1652065291533451264'],1652065291533451264,has anyone else been getting played by starbucks ? i’m missing hella points.,en
31,['1652065245022638081'],1652065245022638081,"writing in starbucks, 2 geordie lads sat down &amp; began an honest conversation about their friendship &amp; feelings. i put my headphones in to give them privacy but having lost many friends to suicide i felt proud of them. good for you, lads. keep talking! 🙏🏼 mentalhealthawareness",en
32,['1652064968009760774'],1652064968009760774,starbucks honey syrup is the worst thing i’ve ever tasted and i wish they’d stop putting it in my drink when i ask for real honey! gyst starbucks,en
33,['1652064858844569603'],1652064858844569603,"my pup had a week starbucks
australiancattledog pupcup fridayvibe beforeworktreat ",en
34,['1652064758999416832'],1652064758999416832,chikorita tries to run a scam  chikorita bayleef meganium pokemon movie game videogames viral scam dumb anime cartoon tacobell walmart amazon netflix disney starbucks animals wildlife nintendo,en
35,['1652064526668378114'],1652064526668378114,not me spending nearly £40 on starbucks ,en
36,['1652064497543028739'],1652064497543028739,thedogecard starbucks can you consider dunkin?,en
37,['1652064307587297285'],1652064307587297285,"starbucks starbuckscanada 
wasaga beach 

sometimes people
pretend you are 
a bad person 
so they do not 
feel guilty 
for how they 
treated you 

truth 
story of my life 
broke not broken 
brokenotbroken ",en
38,['1652064266789216258'],1652064266789216258,"see how easy it is, starbucks ",en
42,['1652062884719935488'],1652062884719935488,"dark angels &amp; pretty freaks podcast 391 road trip re-cap“ annaleis &amp; neil are married chatting life  roadtrip to monterey, aquarium, upgrade, zbiotics, bikecon, seaotterclasic, starbucks podernfamily podnation, couplespodcast ",en
43,['1652062723222433796'],1652062723222433796,"starbucks starbuckscanada 
you have disappointed me, persecuted me &amp; ultimately lost my business.

sometimes people
pretend you are 
a bad person 
so they do not 
feel guilty 
for how they 
treated you 

truth 
story of my life 
brokenotbroken ",en
45,['1652062491638202373'],1652062491638202373,"starbucks poster design

starbucks poster graphicdesign trending ",en
46,['1652062124737175553'],1652062124737175553,"rt tyithaz: archer and archer queen 🤔
starbucks breastmilkmeme starbucksbreastmilk ",en
49,['1652061405846151169'],1652061405846151169,"it was a sick joke to put a beto fanboy in charge of the police in uvalde.

incompetent losers should stick to jobs milking nonprofits or starbucks.

those children should not have had to wait 90 minutes while the beto fanboy police put on hand sanitizer.

equity  ",en
0,['1652061290310012929'],1652061290310012929,"rt sbworkersunited: starbucks' new 'mission':

""with every cup, with every conversation, with every community– we nurture the limitless p…",en
3,['1652060056106541057'],1652060056106541057,"starbucks starbuckscanada 
you have disappointed me, persecuted me &amp; ultimately lost my business.

sometimes people
pretend you are 
a bad person 
so they do not 
feel guilty 
for how they 
treated you 

truth 
story of my life 
broke not broken ",en
4,['1652060050398101504'],1652060050398101504,why has starbucks been slacking on the different syrups and drinks??,en
5,['1652059962934173697'],1652059962934173697,thekimkblog starbucks ugh it was soooo good,en
6,['1652059731756810240'],1652059731756810240,"rt sbworkersunited: starbucks' new 'mission':

""with every cup, with every conversation, with every community– we nurture the limitless p…",en
8,['1652058947598131202'],1652058947598131202,spacex elonmusk viasatinc ses_satellites starbucks  windy hill come over,en
10,['1652058313969008640'],1652058313969008640,"starbucks is there a reason why you are punishing everyone, taking their stars away when it was your mistake the code wasn’t private?! not cool. whydidyoutakemy200starsaway ",en
12,['1652058145710129152'],1652058145710129152,we did a thing 😉 starbucks ,en
14,['1652057926406684672'],1652057926406684672,reporterroblang starbucks wbalnewsnow happy birthday,en
15,['1652057897298173952'],1652057897298173952,starbucks will you guys be having the s’mores frappuccino back this year?,en
16,['1652057786962812931'],1652057786962812931, starbucks tea cup... (starbucks) starbucks  ebay ebayseller esquireattire ,en
17,['1652057743371403267'],1652057743371403267,dm831 starbucks i normally tip them anyway and would have tipped had he not chose to do so himself,en
18,['1652057507005714438'],1652057507005714438,if only starbucks sbworkersunited ,en
19,['1652057339367751682'],1652057339367751682,there is nothing sadder than .starbucks anemic mcpastries. each misshapen mass produced morsel looks like it should be put out of its misery in a landfill. ,en
20,['1652057321391165448'],1652057321391165448,"working on something super exciting. 

thanks starbucks for the free co-working workspace. 🤙🏻

will be sharing more soon! 

c r e a t i v e ",en
21,['1652057085730000896'],1652057085730000896,🍫 keto shake recipe: peanut butter &amp; chocolate keto frapp   frapp shake keto recipe starbucks chocolate lowcarb ,en
23,['1652056879604875266'],1652056879604875266,toninailsit starbucks having the same issue 🙃,en
24,['1652056819748212741'],1652056819748212741,"starbucks what the heck?! it was your fault the code went out, why are you punishing everyone for your mistake? ",en
