,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
0,['1652007268203008000'],1652007268203008000,"1992 set of 2 coca cola green drinking glasses  via etsy

onsale - 15% off and freeshipping thru 5/13  

etsysale etsycoupon mothersdaysale coke cocacola cokecollectibles cocacolacollector glassware kitchenware etsyfinds etsyvintage",,,en
1,['1652006738902630402'],1652006738902630402,"spursofficial hkane tedlasso give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
2,['1652005556532412417'],1652005556532412417,"its breaks my heart to see the devastating impact of plastic pollution on our planet. it's time for companies like cocacola, pepsico, nestle, and proctergamble to take responsibility for the plastic river they've created. ",,,en
6,['1652005097289728013'],1652005097289728013,cocacolaracing dennyhamlin joegibbsracing nascar cocacola cltmotorspdwy hopefully it will be chaseelliott celebrating in vl next month at cltmotorspdwy !!! di9,,,en
9,['1652003297748996097'],1652003297748996097,sneakernews cocacola color combo! fresh and classic!,,,en
11,['1652001375000354816'],1652001375000354816,"pepsicoindia pepsico cocacola
cocacolaindia 
why are retailers taking extra amount from mrp. 
is there a different price for a cold or a warm product like a cold drink and water bottle.",,,en
13,['1652000987144499202'],1652000987144499202,worldofcocacola cocacola is a company that is international and then takes big bank meaning it takes over small companies like mcdonaldsjapan  then the levers shift. then the company is not local it’s not international it’s something else.,,,en
15,['1651999131458584577'],1651999131458584577,cocacola who is the owner of coca cola,,,en
19,['1651997538248011786'],1651997538248011786,"when it's *friday"" it doesn't need to be 1700hrs to start your weekend🥴
the drink station is up &amp; dispensing🥃
jackdaniels_us
cocacola ",,,en
20,['1651997145111875584'],1651997145111875584,cocacolaracing dennyhamlin joegibbsracing nascar cocacola cltmotorspdwy hope and pray the coca-cola racing family will be appearing at local retailer to sign autographs during the week of 600.unfortunately i can not come to see suarez at walmart in mooresville.haven't seen him since he was at jgr.,,,en
21,['1651997066502058002'],1651997066502058002,"coca-cola stock $ko price surge creates bullish sequence, blog at:  
elliottwave cocacola stockmarket trading",,,en
23,['1651995563431276593'],1651995563431276593,mividasexualescomolacocacolahumor cocacola primero normal ligth cero webpages webpage websides webcamcolombiamodels webcam webcammodel  bongacamsmodel beauty beautytok beautifull redhead redhair redhairgirl latina colombia colombiana lipsred redlips ,,,en
24,['1651995170517266443'],1651995170517266443,don’t forget cocacola and disney ,,,en
26,['1651993241426989056'],1651993241426989056,"taste the thriving happiness! 
a pandemic start-up, thrivenowin makes food commerce sustainable without food aggregators in the middle! with cocacola investing in their d2c concept, this deal will create a delicious disruption in foodtech.  
startup 
",,,en
28,['1651993129908678668'],1651993129908678668,"rt thealtcoinman: with mnwsupplychain, companies can integrate existing supply chain systems, allowing for interoperability and seamless…",,,en
29,['1651992961926803472'],1651992961926803472,"los análisis de resultados de la semana 👀

hay para todos los gustos 🔍

texasinstrument
unilever
chipotle
mcdonalds 
bancosantander
novartis
bic
microsoft
phillips
cocacola
philipmorris
vitecsoftware
tsmc
nokia 
thulegroup

",,,en
30,['1651992354901962752'],1651992354901962752,check out coca cola - ‘57 ford thunderbird - 1:64 - majorette (1997) cocacola thunderbird majorette  ebay a través de ebay,,,en
31,['1651991345483984912'],1651991345483984912,news: cocacola has turned to generative ai to “enhance marketing capabilities”. news crypto finance,,,en
32,['1651991002175897600'],1651991002175897600,"this is what russia stands for. this what the european ”peace” movement wants us to live with, what the extreme right and the extreme left admires, what angela merkel accepted for cheap gas, what companies like cocacola and heineken ignores, what the olympics is rewarding. 🤬 ",,,en
34,['1651990544497750033'],1651990544497750033,l_multifan cocacola bless him for managing to make biking through the snow with a santa hat on look this good,,,en
35,['1651990161645875200'],1651990161645875200,"actbrigitte waaahhh!!  i refuse to eat m&amp;ms, i refuse to drink buslight, i refuse to watch mlb nba nfl jimmykimmel theoscars shop at dicks shop at walmart drink cocacola you are your ilk and your threats.  everybody is doing fine without you.  oldbiddy oldcrow ",,,en
38,['1651989560832983042'],1651989560832983042,ftc complaint filed against cocacola at the federal trade commission (ftc) for using stolen intellectual property as a business asset. ,,,en
39,['1651989540293292044'],1651989540293292044,ivanovskisberet cocacola he looks so cute in this commercial,,,en
40,['1651988984904527874'],1651988984904527874,i need cocacola to know that the only reason i keep buying their products is bc jack wolfe starred in one of their commercials like 4 years ago ,,,en
41,['1651987633508167690'],1651987633508167690,"we're still in full swing but quick shout-out to cityofcincy rumpkenews votelizkeating cintrifuse team, kroger proctergamble fifththird madtreebrewing michelman cocacola cvgairport pepsi for outsourcing an extreme challenge to startups.  rethinkrecycling…  ",,,en
44,['1651986874796322824'],1651986874796322824,cocacola if you invited me to a party and put a bottle of coke in my hand when i walked through the door i'd smash you over the head with it.,,,en
45,['1651986352043438091'],1651986352043438091,yikes! $2.59 for one (1) 12oz coke can circlekstores inflation cocacola bummed,,,en
46,['1651985981946441729'],1651985981946441729,"the downtown cleveland chipotle is the worst managed chipotle in the country. constantly running out of fajitas, white rice, cocacola and ice is not acceptable",,,en
48,['1651984490556805121'],1651984490556805121,"rt thealtcoinman: with mnwsupplychain, companies can integrate existing supply chain systems, allowing for interoperability and seamless…",,,en
49,['1651983626509352963'],1651983626509352963,ashisharajput19 cocacola cbitweets upgovt the recent revelation of fake concentrate being used at coke's unnao factory is alarming. what other secrets might they be hiding? it's time for cocacola to wake up.,,,en
1,['1651983355624271884'],1651983355624271884,rt theclutterddesk: so as a sorta jokey custom i decided to make a shattered glass version of pepsi prime who is obviously a coca cola ver…,,,en
3,['1651983034634182656'],1651983034634182656,danielriccardo dell dr3 gulf gp f1 huskichocolate redbullfamily cocacola dieterhock6 webex redbull ford ,,,en
6,['1651982809005715457'],1651982809005715457,"unopened nascar commemorative coca cola six packs cocacola collectibles 
",,,en
9,['1651982015351209986'],1651982015351209986,"spursofficial getir_uk give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
10,['1651981502488485888'],1651981502488485888,cocacola when would there be?,,,en
11,['1651981466249891842'],1651981466249891842,"thanks emglobal for a great cocacola brand &amp; commerce day at your office! we enjoyed deepening our partnership, exploring opportunities, and sharing our data &amp; insights capabilities. excited for the future of commercemedia and our journey into retailmedia's momentum together! ",,,en
13,['1651980936869814278'],1651980936869814278,cocacola the “russian world” is equivalent to death. the “russian world” turns everything into a wasteland.,,,en
14,['1651980887636967426'],1651980887636967426,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
15,['1651980808012300289'],1651980808012300289,"cocacola the rocket hit our house.  we are all in blood.  children slept here.  we don't have any windows or anything"" - the residents of the house in uman show the first pictures after the arrival",,,en
20,['1651978287126806533'],1651978287126806533,thinkabout2wice cocacola moveeee 😉 cocacola,,,en
21,['1651978172899151873'],1651978172899151873,".cocacola reported on strong earnings and the success of digital marketing initiatives on a call about q1 results in 2023. 

more on spotlight:

",,,en
22,['1651977885056479232'],1651977885056479232,"coca cola sold only 25 bottles, in it's first year

man ,

never give up 

cocacola ",,,en
24,['1651976938481655809'],1651976938481655809,cocacola i need the vanilla coke zero back neeowwww you guys have deprived me of this for three fucking years i want it back now,,,en
25,['1651976175592325121'],1651976175592325121,"those who know me know i loved pepsi for decades (in moderation), until they changed their formula from natural sugars to synthetic sugars (that gives an aftertaste &amp; gives headaches).

pepsico cocacola pepsiruined pepsichangedihavechangedtococacol pepsirevolt ",,,en
28,['1651973321834070016'],1651973321834070016, auctions coke clevendbrowns hallmark planes funkopops cocacola  ebayseller ebayfinds ebay fantasticbeasts  ebaycommunity resellercommunity andygriffith  harrypotter americana deals sale happyhollisters stamps philately superman ,,,en
29,['1651972752423673858'],1651972752423673858,"rt your_sweet_neko: ops!!!

onlyfans nekochan catgirl porn hentai cocacola animegirl anime egirl aestheti…",,,en
30,['1651972538451230727'],1651972538451230727,"drromantic3 jiminxtiffanyandco ponniyanselvan2. starwarsjedisurvivor istandwithmychampions
donjazzy heisrema afpfactcheck cocacola pepsi pepsi_naija jazzysburger  out yungjeezus iniobong venomspittah's video! tiktok ",,,en
31,['1651972287862808577'],1651972287862808577,"with mnwsupplychain, companies can integrate existing supply chain systems, allowing for interoperability and seamless data exchange.

don't believe $mnw? ask coca-cola

100x cryptonews cocacola ",,,en
32,['1651971808650833921'],1651971808650833921,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
33,['1651970200634359814'],1651970200634359814,rt alyssanastyx: cocacola should rly sponsor me atp 😉😅🥤💦 ,,,en
34,['1651970059877892096'],1651970059877892096,mujhe kisine cocacola song dedicate hi nahi kiya ab tak🥺,,,en
38,['1651966043865186304'],1651966043865186304,"enjoy the real gold standard with goldpeak tea! no matter what flavor you are in the mood for, our team has you covered, making sure your local retailer stays stocked up! goldpeak cocacola ",,,en
39,['1651965701056262150'],1651965701056262150,"sudanwar 2/3 global supply gum arabic, beverage/cosmetic ingredient. $1 billion export market cocacola stockpile, 6 mos inventory exhaust . rural acacia tree tap interrupt, substitute lack. chad set 100,000 refugee +400,000 2 decade. emergingmarkets",,,en
46,['1651962265506320386'],1651962265506320386,"mazza mango cold drink quality is very bad , shop keepar  charge extra price in mrp rs mazza 600 ml bottol  mrp is 40 , but shopkeepar charge 50/- 
improve quality other wise sales is down
mazza maza colddrink cocacola indian",,,en
47,['1651961869496721409'],1651961869496721409,cocacolaracing dennyhamlin joegibbsracing nascar cocacola cltmotorspdwy 😍😍😍😍.,,,en
48,['1651961824693088259'],1651961824693088259,mirandacosgrove and sean with a cocacola shirt 👚 in phuket thailand filming mother of the bride 👰🏻‍♀️ for netflix ,,,en
0,['1651959822420672512'],1651959822420672512,sandeepkishore_ cocacola pmoindia upgovt wt's the matter can u explain!?,,,en
1,['1651958736364400642'],1651958736364400642,ashisharajput19 cocacola cbitweets upgovt well.. who said the original is healthy 😊,,,en
2,['1651956805017190401'],1651956805017190401,cocacolaracing dennyhamlin joegibbsracing nascar cocacola cltmotorspdwy can’t wait to get there ,,,en
3,['1651955938994143234'],1651955938994143234,thechelseaforum cocacola better than allianz?,,,en
4,['1651954796700610560'],1651954796700610560,"rt your_sweet_neko: ops!!!

onlyfans nekochan catgirl porn hentai cocacola animegirl anime egirl aestheti…",,,en
5,['1651954285033459713'],1651954285033459713,"shrishtysays cocacola incometaxindia upgovt well,
they were capable of buying our thums up, gold spot &amp; limca for just 40 crores &amp; put indian companies out of beverages business. and they aren't alone. your cadburies, nestles, colgate etc. etc. had done the same &amp; our govt gave them red carpets.
capability? theirs v ours.",,,en
6,['1651953823450275840'],1651953823450275840,shrishtysays cocacola incometaxindia upgovt do you have proof or might have to pay huge damages,,,en
7,['1651953576745238529'],1651953576745238529,"the cocacola powerade aotw is sand rock high school senior jadyn foster. this past week jadyn reached a career milestone with her 1000th strikeout. during a 8-1 win, foster brought her career total strikeouts to 1004. congrats jadyn! ",,,en
8,['1651953274356998147'],1651953274356998147,it’s not to late cocacola 🔵⚪️ ,,,en
10,['1651950871289253888'],1651950871289253888,"today we celebrate worldsafetyday. a safe and healthy working environment is a fundamental principle and right at work. we’re working with the cocacola company towards our vision of ‘zero is possible’; zero serious injuries in the workplace. 
together, we can make a difference. ",,,en
11,['1651950790154797058'],1651950790154797058,curiosityrocks nike blockbuster nerf mtv pepsi pokemon jumpman23 shaq cocacola slimjim thesimpsons nickelodean not missing that point at all. we will have physicals back in june and globally next year. we really want people especially kids to have the same experience we did. collectibles just for them. i have been opening 90s packs and feel the nostalgia hit instantly. i hope you will too,,,en
15,['1651949245631537152'],1651949245631537152,"hold corps. accountable that benefit fm slave or child labor. let them know they have to change or help improve working condictions. nike adidas nba hershey nestle mars apple microsoft hnm walmart starbucks amazon cocacola gap + dozens more.
",,,en
16,['1651949090991665153'],1651949090991665153,happy friday tw fam🙏 keepcool cocacola friday unusual mood hotwheater ,,,en
18,['1651946815510519808'],1651946815510519808,"the coke india should now make public everything related to bottling operation and try to come out clean.
timesofindia aajtak cnbctv18news
cocacola cocacola_ind",,,en
19,['1651946725429374976'],1651946725429374976,"it is learnt coke global ceo making a visit next month. he will have a tough call to take
sunitanar incometaxindia
mofpi_goi cocacola cocacola_ind",,,en
23,['1651943004117032962'],1651943004117032962,"spursofficial sonny7 hkane give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
24,['1651940440634019841'],1651940440634019841,"rt vitalyvtennant: start offering pricing lifetime plans/memberships. in terms of  hardware to software, from hosting to plugins r…",,,en
25,['1651940299642486784'],1651940299642486784,"rt vitalyvtennant: start offering pricing lifetime plans/memberships. in terms of  hardware to software, from hosting to plugins r…",,,en
26,['1651940230943981568'],1651940230943981568,"rt vitalyvtennant: start offering pricing lifetime plans/memberships. in terms of  hardware to software, from hosting to plugins r…",,,en
27,['1651940033799094274'],1651940033799094274,"start offering pricing lifetime plans/memberships. in terms of  hardware to software, from hosting to plugins remember, wherever there is a mcdonalds, there is a burgerking, similarly, cocacola pepsi e.g. unstoppabledomains,  , web services",,,en
28,['1651938728431034371'],1651938728431034371,rt dsosa2423: healthy thick nut 🌋💦 dltv cocacola yellove jacksonville atlanta bbc cum hooddick bilife moaner nut retweet https…,,,en
29,['1651938282685513729'],1651938282685513729,we either stand up against this or we stick our head in the sand &amp; let our children grow up in a world we can no longer recognize. not hyperbole. its coming to you courtesy of maybelline ultabeauty budlight hersheys cocacola .....gowokegobroke wokeculture newsmax ,,,en
33,['1651937105654738944'],1651937105654738944,world economic forum pretzel logic  alberteinstein usa coronavirus evolution excellence brazil freedom cocacola entropy energy,,,en
34,['1651936560085094400'],1651936560085094400,"it's time for this company to prioritize sustainability over profits. 
wakeup cocacola
cocacola_ind cocacola

cocacola wakeup wakeupcocacola",,,en
