,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
0,['1645533122669449221'],1645533122669449221,"octagon blog: breaking sortedfood ""extreme brazzers mma card at burgerking soon""! kendralust jmarquezmma ufc ",,
1,['1645532736566988804'],1645532736566988804,"rt dogedude_: did you convince your manager yet burgerking ? 👀 

dogecoinisking 🐕👑",,
2,['1645531314194399233'],1645531314194399233,burgerking burgerkinguk just delivered me a ‘vegan burger’ that was in-fact real beef. absolutely grim,,
3,['1645530376843186176'],1645530376843186176,"rt healthy_pockets: 🔥bombazo🔥

burgerking va a comenzar a aceptar bitcoin y crypto como medio de pago en sus restaurantes en paris, fra…",,
4,['1645529929097023488'],1645529929097023488,rt ln1885: kongbinieat kongbinifoodblog burgerking ,,
5,['1645528852037357571'],1645528852037357571,"rt pleasurepupnsfw: making a dick chart for the fast food mascots 
can you guess who's next ?🍆
nsfwtw jackintheboxmascot burgerking htt…",,
6,['1645527409440206848'],1645527409440206848,"burgerkingindia burgerking burgerkingindia
so, i ordered food from a brand new outlet of burger king in madhyamgram , kolkata, n 24 pgs, wb, india, pincode-700129&amp; received a bill &amp; filled a feed back form online and entered a specific code from the bill. but it's not working ",,
7,['1645524135622180874'],1645524135622180874,…why’s the whopper so expensive now? burgerking,,
8,['1645522909522264074'],1645522909522264074,burgerking will you accept grimacecoin?,,
9,['1645521776355540998'],1645521776355540998,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
10,['1645520643566305298'],1645520643566305298,iamreviewbrah burgerking youtube youtubecreators another bummer 😞,,
11,['1645519493542674462'],1645519493542674462,rt ln1885: kongbinieat kongbinifoodblog burgerking ,,
12,['1645519235228266497'],1645519235228266497,padraic92996190 burgerking amazing 🤩🤩,,
13,['1645519219725926410'],1645519219725926410,eatonthemove absolutely joke of and operation at burgerking dublin. full refund required for the joke of food tonight. ,,
14,['1645518728421933083'],1645518728421933083,"rt ssbbw1118: burgerking haveityourway
with all this juicyass
i plan on offering a full menu and i'm taking suggestions for the type of…",,
15,['1645518117148262407'],1645518117148262407,its_the_dr just waiting to hear burgerking has renamed the cinnamon french toast to dylan’s sweet tummy stix 😁,,
16,['1645516826229772288'],1645516826229772288,burgerking music ,,
17,['1645516771468910592'],1645516771468910592,padraic92996190 burgerking bitecoin? does this mean burgerking  is going to start accepting monero?,,
18,['1645515531464704017'],1645515531464704017,i wouldn’t give a chick 10 cents to put cheese on a wopper burgerking ripbigl,,
19,['1645514885747417089'],1645514885747417089,"burgerking как вам такое ожидание/реальность? )))
бургеркинг беларусь ",,
20,['1645512576212639744'],1645512576212639744,"rt sarahwithheels: morning sundayvibes hot weekend burgerking fastfood omg sexy milf gilf fun 
wonder what that bloke was think…",,
21,['1645511278952153103'],1645511278952153103,iamreviewbrah burgerking youtube youtubecreators looks gross,,
22,['1645511094038056961'],1645511094038056961,"shocked to find a metal pin (a staple) inside my burger from burgerking swiggy 

this was so dangerous. this was found while chewing and could have caused sever injury. couldn't find this as an option while reporting on app. requesting swiggycares to please ensure safe food. ",,
23,['1645511030989094930'],1645511030989094930,"rt burgerking_esa: cuenta la leyenda, que en nuestro reino viven unas colochas que son deliciosas e irresistibles.👀🤤

burgerking atumane…",,
24,['1645509086216110083'],1645509086216110083,bitecoinbk burgerking burgerkinguk i have a proposal! contact me ,,
25,['1645507862276485120'],1645507862276485120,burgerking please stop getting rid of the double stackers.😭😭 that is hands down the best item on the menu and has been a pregnancy craving. i love you but you're breaking my heart. 😩,,
26,['1645507143586529280'],1645507143586529280,"received 16th call from a predatory call center who wants to put my family into more debt from fraudulent 4profit colleges

mcdonalds arbys burgerking tacobell popeyes kfc 

please stop these scammers using your name to trick low-income job seekers  ",,
27,['1645506222269792258'],1645506222269792258,"rt gabrielfarias20: galera ainda tá rolando cupom no bk 

cupom: gab12 

burgerking cupom 

",,
28,['1645505301582413842'],1645505301582413842,"i don’t give a shit about your whopper
burgerking your ads are killing me",,
29,['1645505146531586049'],1645505146531586049,"heathhixson bern_identity burgerking i was 14 and started working at a pizza shop. i thought i was lucky to be given a chance at employment and never once felt exploited, fact of the matter it made me independent and understand how life works.",,
30,['1645505031574003712'],1645505031574003712,moreperfectus burgerking  is on the we are hiring kids band wagon along with tjmaxx,,
31,['1645504557659684869'],1645504557659684869,heathhixson bern_identity burgerking this is a great example! this post does smack of privalage,,
32,['1645503427525611520'],1645503427525611520,"bern_identity hiring a 14 yoa for a fast-food job is not exploitation. i grew up poor. in colo., the employment age was &amp; is 14. that's when i started in restaurants (h/t burgerking for the opportunity). it's how i bought my own car, paid for expenses, &amp; gave my single mom financial relief.",,
33,['1645501906289328128'],1645501906289328128,"rmm_smartview /🍴&gt; nutrition 

🧠&gt; smartskills howto tips

 

 🥓&gt; water hack

 
🥓&gt; flour hack
 

🆕&gt;whats new 
 
🍔&gt; burgerking
 
👉 vegan

 
👉 doritos
",,
34,['1645501068011524096'],1645501068011524096,elonmusk are you ready to eat burgerking if they accept dogecoin  burgerkinguk,,
35,['1645498814210666496'],1645498814210666496,zomato zomatocare  they don't take any responsibility they just blame burgerking  and burgerking  packaging sucks  ,,
36,['1645496509755006989'],1645496509755006989,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
37,['1645496060448759808'],1645496060448759808,burgerking should be ashamed charging 12 bucks for a meal and the sandwich the same size as a sauce ,,
38,['1645495578753736722'],1645495578753736722,"an open letter(🧵) to burgerking ,

i understand you're a franchise &amp; there will be some variance between restaurants. however, you should be aware when an owner/manager makes a decision that could adversely effect your customer satisfaction.

(1/7) ",,
39,['1645495120261701632'],1645495120261701632,burgerking check dm please,,
40,['1645494129357627392'],1645494129357627392,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
41,['1645492003206213632'],1645492003206213632,bitecoinbk burgerking burgerkinguk hello!! i like your project! send me dm i have a proposal for you !! 🚀🔥,,
42,['1645491962034757654'],1645491962034757654,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
43,['1645491350962413575'],1645491350962413575,"rt bitecoinbsc: watch our video burgerking burgerkinguk , giving back to others with burgerking ! 🍔

bitecoin bsc made decentralization…",,
44,['1645490703420596240'],1645490703420596240,iamreviewbrah burgerking youtube youtubecreators i’m sorry to hear that.,,
