,edit_history_tweet_ids,id,text
0,['1623437244316147712'],1623437244316147712,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
1,['1623437239983427591'],1623437239983427591,"rt kfc_jp: ＼🧀好評販売中🍔／
kfc 史上最重量のチーズが入った チーズにおぼれるフィレバーガー が登場❗️
抽選で合計500名様にデジタルkfcカード1,000円分がその場で当たる🎉
本日最終日✨

① kfc_jp をフォロー
②2/7(火) 23:59…"
2,['1623437185981779968'],1623437185981779968,"rt kfc_jp: ／
チーズラバー必見👀
チーズにおぼれるフィレバーガー
＼

チーズラバーのみなさん、今年も kfc 史上最重量のチーズソースに身も心もおぼれていますか❓
数量限定のため、まだの方はお早めに💨

もう食べた❕▶rt🔁
おいしそう❕▶いいね❤
➡htt…"
3,['1623437100527001601'],1623437100527001601,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
4,['1623436909681991680'],1623436909681991680,"rt kfc_jp: ／
チーズラバー必見👀
チーズにおぼれるフィレバーガー
＼

チーズラバーのみなさん、今年も kfc 史上最重量のチーズソースに身も心もおぼれていますか❓
数量限定のため、まだの方はお早めに💨

もう食べた❕▶rt🔁
おいしそう❕▶いいね❤
➡htt…"
5,['1623436797438210048'],1623436797438210048,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
6,['1623436752118755333'],1623436752118755333,"rt kfc_jp: ／
チーズラバー必見👀
チーズにおぼれるフィレバーガー
＼

チーズラバーのみなさん、今年も kfc 史上最重量のチーズソースに身も心もおぼれていますか❓
数量限定のため、まだの方はお早めに💨

もう食べた❕▶rt🔁
おいしそう❕▶いいね❤
➡htt…"
7,['1623436682501705728'],1623436682501705728,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
8,['1623436667679035393'],1623436667679035393,"rt kfc_jp: ＝＝＝＝＝＝＝＝＝
明日2月7日(火)まで⏰
チキンフィレバーガー290円
＝＝＝＝＝＝＝＝＝

ケンタのフィレバーガー が単品【290円】で食べられるのは明日まで📢
おトクな期間をお見逃しなく🙌⭐️

もう食べた❕▶rt🔁
おいしそう❕▶いいね❤…"
9,['1623436248919715840'],1623436248919715840,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
10,['1623436085606088704'],1623436085606088704,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
11,['1623435692973101056'],1623435692973101056,kfc bring back potato wedges!
12,['1623435326063808512'],1623435326063808512,"rt kfc_jp: ／
チーズラバー必見👀
チーズにおぼれるフィレバーガー
＼

チーズラバーのみなさん、今年も kfc 史上最重量のチーズソースに身も心もおぼれていますか❓
数量限定のため、まだの方はお早めに💨

もう食べた❕▶rt🔁
おいしそう❕▶いいね❤
➡htt…"
13,['1623435300692463617'],1623435300692463617,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
14,['1623434820637564930'],1623434820637564930,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
15,['1623434053855870976'],1623434053855870976,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
16,['1623434018871189505'],1623434018871189505,i need kfc to bring back zinger popcorn chicken pls kfc
17,['1623433845541588993'],1623433845541588993,"rt kfc_jp: ／
チーズラバー必見👀
チーズにおぼれるフィレバーガー
＼

チーズラバーのみなさん、今年も kfc 史上最重量のチーズソースに身も心もおぼれていますか❓
数量限定のため、まだの方はお早めに💨

もう食べた❕▶rt🔁
おいしそう❕▶いいね❤
➡htt…"
18,['1623433700003438593'],1623433700003438593,"rt saikiito427: 今夜はケンタッキーにしよ？
食べたかったーー kfc 献立備忘録
クリスピーの外側のカリカリが好きですね。トレーの上のも拾って食べます。

たぶんなんかバランスが取りたくて、
アボカドトマトと白菜きくらげのスープを謎に拵える。私はそういう人…"
19,['1623432984614547457'],1623432984614547457,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
20,['1623432752740859905'],1623432752740859905,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
21,['1623432706603503616'],1623432706603503616,"rt kfc_jp: sanae_toshima ご参加ありがとうございます❗️ 
気になる抽選結果は・・・動画を最後までご覧ください🙌

キャンペーンは2/7まで毎日参加可能✨
チーズ飯テロ警告 動画を見て、明日もぜひ参加してね🧀🍔

kfc チーズにおぼれるフィレ…"
22,['1623432671623004160'],1623432671623004160,"ayúdenme a compartir para no perder el dinero de mi almuerzo jajaja 😭😭 tengo hambre
kfccolombia kfc kfc "
23,['1623432554119299073'],1623432554119299073,"【𝑰𝑵𝑭𝑶】{08/02/2023} actualización de kfc en weibo

✨el amor es el latido del corazón 💓, es el doble sentido 👫, es la dulzura de la vida con wangyibo🍂

🔗
wangyibo 王一博 왕이보 kfcxwangyibo
𝑪𝒓: 肯德基
𝐖𝐚𝐧𝐠𝐘𝐢𝐛𝐨𝐁𝐨𝐥𝐢𝐯𝐢𝐚𝐅𝐂🇧🇴💚 "
24,['1623432472196419584'],1623432472196419584,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
25,['1623432460737589248'],1623432460737589248,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
26,['1623432381490405378'],1623432381490405378,"เก็บทุกรายละเอียด ถึงหน้าไม่เนียน เเต่ก็เลียเธอล้มทั้งยืน พนัสนิคม เกาะโพธิ์ ชลบุรี kfc bb24 wky แผ่นดินไหวตุรกี ricky 
 "
27,['1623432372057423874'],1623432372057423874,"of_sparta_48 officiallxc777 kfc not a priority area, obviously, but maybe baf needs to be looked at also; also heard rumours of a tiff between the former franchise licence holders and the previous administration… if it was a personal thing that led to it… maybe it can be rectified now…"
28,['1623432353585704960'],1623432353585704960,"rt kfc_jp: tomtom1021 ご参加ありがとうございます❗️
気になる抽選結果は・・・動画を最後までご覧ください✨

kfc 公式twitterでは今後もキャンペーンを開催しますので、フォローはそのままで👍

チーズ飯テロ警告 動画も見てね🤤

チーズに…"
29,['1623432341485137921'],1623432341485137921,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
30,['1623432228016455683'],1623432228016455683,when the colonel’s call comes in kfc nightin 
31,['1623432143463493635'],1623432143463493635,rt gulfkanawut: ของชอบทั้งนั้นเลยแชร์ดีมั๊ยน๊า! รู้ว่าชอบแต่มันต้องแชร์ kfc sanders' hit รวมของสุดฮิตมาให้แชร์กัน!! 🍗ในราคาเพียง 199.- เท่…
32,['1623431927725445121'],1623431927725445121,"kfc_india doesn't matter, right? kfc_india kfc"
33,['1623431880505982976'],1623431880505982976,"rt kfc_jp: ／
【本日2月8日(水)から】
ナゲット10ピース半額🎉🎊
＼

2月21日(火)までの期間限定で、ケンタのナゲット 10ピースが通常価格840円のところ半額の【420円】に🎉
このおトクな機会にぜひお試しください🎵

食べたい❕と思ったらrt🔁…"
34,['1623431031029174280'],1623431031029174280,"pagar 160 pesos (8 dolares) en una hamburguesas en el kfc fue buena inversión...creo :l
mexico kfc xd"
35,['1623430969264070656'],1623430969264070656,a no. 2 pencil and a dream can take you anywhere…youngmoneyteam diva kfc kfcghana 
36,['1623430255569514496'],1623430255569514496,"somos dos y tenemos hambre jajaja, en conclusión, muy poco recomendada la atención de ese kfc
pdt cocineros de kfc: dejen fritar bien sus alitas, al menos para que se puedan comer :ccc
kfccolombia
kfc "
