,edit_history_tweet_ids,id,text
0,['1623431753904930825'],1623431753904930825,johnoberg shalinijain03 impossiblefoods burgerking a few of the burger king’s here (south louisiana) quit carrying the impossible whopper. it makes me furious
1,['1623431652859908097'],1623431652859908097,"i'm at burgerking in atlanta, ga "
2,['1623431321971494912'],1623431321971494912,capcut arcade 80s 90s gaming gamer videogames game mancave fyp japan music china meme funny burgerking superbowl 
3,['1623430312075177991'],1623430312075177991,wwe baroncorbinwwe burgerking is always looking for ‘waitrons.’
4,['1623429157190520833'],1623429157190520833,"rt burgerking_kor: 버거킹 어떻게 가요? 뉴ㅈ..가 아니고 치킨킹 치킨패티룩이요🍔🎧

뉴욕, 파리, 밀라노도 아닌 버거킹에서 패션위크를?

너만의 쥬시하고 크리스피한 치킨패티룩을 보여줘!
버거킹 burgerking 치킨킹 치킨…"
5,['1623429007399337986'],1623429007399337986,where is burgerking with the 4000 characters worth of whopper?
6,['1623428768269324289'],1623428768269324289,"whether it be with dunkindonuts, sephora, ultabeauty, cvspharmacy, chevron, safeway, burgerking and more, download the trylolli app today for more bitcoin rewards 👇
"
7,['1623428483295723520'],1623428483295723520,burgerking you guys should seriously stream the movie founder 24/7 on your website. i will never eat at mcdonald's again.
8,['1623428407479476226'],1623428407479476226,"rt jinloeofficial: แผนการคิง พิชิดตัว เบอร์เกอร์ 
step 1 แกล้งป่วยให้มาหา 
step 2 พอเธอมาก็จับรวบหัวรวบหาง newyearbrb jurkung 
รักชอบเ…"
9,['1623428384939290624'],1623428384939290624,"taco bell follows wendy's, burger king in bringing back key value deal - thestreet burgerking fastfood "
10,['1623427261624901632'],1623427261624901632,in the middle of the woods - 2023 - a film of erikblanc. sub english   via youtube hogwartslegacy eintracht_eng eizamusica younetflix horrornewsnet screammovies jennaortega burgerking mcdonalds ahsfx ambermidthunder actor_amritha ukraine
11,['1623426519958753282'],1623426519958753282,the burgerking whopper commercial song is peak comedy
12,['1623426417848360960'],1623426417848360960,twitter burgerking whopper whopper whopper whopper junior double triple whopper
13,['1623426043146117121'],1623426043146117121,this afternoon gb wi yum 😋 burgerking 
14,['1623425734982213633'],1623425734982213633,"got caught in this between j5 &amp; j4a..2.5hrs plus, boxed-in 2 outside lanes. incident under comd of hwfire took a long time to manage. safety-risk⬆️by failure to release tfc, thin blue line hands on hips as i passed🧐poor

late appt, now have to eat this 💩 burgerking at hopwood  "
15,['1623425670394138625'],1623425670394138625,burger king car mukbang! 🍔 /juicy never have i ever! kristel beauty and ...  via youtube burgerkingnl burgerking
16,['1623424094430724096'],1623424094430724096,petrafyed burgerking you should add a piece of fried egg to make it tastier
17,['1623424008564645889'],1623424008564645889,"if burgerking doesn't just tweet out the max amount of ""whopper"" they're asleep at the switch. "
18,['1623423543932321792'],1623423543932321792,"stufflikehearts based on my past few trips to burgerking it sounds like someone did you a favor. everytime i've eaten there in the last year, i've gotten a bad case of the butt pukes."
19,['1623423444523294722'],1623423444523294722,twitter whopper whopper whopper whopper whopper whopper whopper whopper whopper whopper  whopper whopper whopper whopper whopper whopper whopper whopper whopper whopper  whopper whopper whopper whopper whopper whopper whopper whopper whopper whopper  whopper whopper whopper burgerking
20,['1623422970889740288'],1623422970889740288,256gbmemes burgerking you should make this real irl
21,['1623421276738953220'],1623421276738953220,"nah burger king. let kids be kids, pay adults a fair wage

burgerking childlabor "
22,['1623421099236114432'],1623421099236114432,"oh wow, they increased the limit of text on twitter this is actually neat, the next thing that would be cool is that mcdonalds brings back the mcwrap and littlecaesars brings back the pretzel pizza and smokehouse pizza and burgerking brings back hotdogs and then pepsi brings… "
23,['1623419607171100678'],1623419607171100678,.burgerking letting people use 2 coupons in store or drivethru and only letting mobile orders use 1 makes your app not worth using. :)
24,['1623419553156939777'],1623419553156939777,twitter is this how burgerking wrote that song?
25,['1623419058942099458'],1623419058942099458,burgerking explain. 
26,['1623418666078597120'],1623418666078597120,burgerking bobsburgersfox burgerkill mrbeastburger hasanthehun playoverwatch pokemon goldman dababydababy taki693 bbc 9/11 was an in side job be spongebob square sail sandwich man and kanyewest is a super super super cool person childsmugglerjr period buildjakapan
27,['1623416565814419456'],1623416565814419456,mcdonalds please post a copy of the nondisclosure agreement that potus insists that you make your cashiers sign before working there.. why are you so afraid of your employees running off to burgerking? what’s to disclose? do you use fake meat or gross stuff?
28,['1623415805399498753'],1623415805399498753,beefy_ramen_boy burgerking rocketleague whopper
29,['1623415753721487360'],1623415753721487360,"🎶whopper whopper whopper burgerking
3wordsuperbowl "
30,['1623414794505314304'],1623414794505314304,been trying out fast food restaurants today burgerking . i ask for nuggets and onion rings shake. so i say my oh my god. she proceeded to tell i need to stop saying that. i told her she doesn’t tell what to say. it went from i’m not going to take your order 
31,['1623414214839750656'],1623414214839750656,edgygazelle burgerking thank you :)
32,['1623412385473089541'],1623412385473089541,rt kageporn: would y'all buy a whopper right now if it meant a complimentary bj from her? end porn nsfw shelikesit burgerking burgerk…
33,['1623412327688044544'],1623412327688044544,rt kageporn: would y'all buy a whopper right now if it meant a complimentary bj from her? p1 porn nsfw shelikesit burgerking burgerki…
34,['1623412256154218498'],1623412256154218498,"maplesyrupnews blimey!
you should hear what he has to say about burgerking!

"
35,['1623411897784733697'],1623411897784733697,"burgerking
tried to call this location about something important and they don't answer the phone then calling since 8: 00am it is now 2:02 pm
"
36,['1623411377774768131'],1623411377774768131,"one must admit, the burgerking ad campaign is really catchy. i find myself singing and humming the songs randomly."
37,['1623410556999794688'],1623410556999794688,new bk ad edit burgerking  burgercheeseburgercheese 
38,['1623409897147666433'],1623409897147666433,what happens if i apply for a subscription to nickelodeon magazine in 2023? nickelodeon nickelodeonvhs nickvhs vhs aaahhrealmonsters nicktoons nickmagazine nickelodeonmagazine magazinesubscription burgerking mailin nostalgia throwback 90sthrowback 90skid orange 
39,['1623409811835551746'],1623409811835551746,burgerking dm sent.
40,['1623409608332042240'],1623409608332042240,jakecroup burgerking fsmikey fsbigbob sometimes you just need to hear a jingle on repeat 🔂
41,['1623409342908190721'],1623409342908190721,new food release: burgerkingcan releases the angry poutine burgerking 
42,['1623408919292039168'],1623408919292039168,beefy_ramen_boy burgerking rocketleague aoh my goobness
43,['1623408820197138434'],1623408820197138434,beefy_ramen_boy burgerking rocketleague you’ve outdone yourself
44,['1623408120037883913'],1623408120037883913,"چیرۆکی رێکابەری دوو کۆمپانیا
peeeyasa 
cafe macdonalds burgerking erbil hawler kurdistan arbil arbilcity irbil_city irbil_iraq peeyasa cafeerbil fastfood  irbil, iraq "
45,['1623407666432290822'],1623407666432290822,i’m vexed that the burgerking in g’fnrks does have ketchup for my fries.
46,['1623407543677554693'],1623407543677554693,"whopper whopper whopper whopper
octane, fennec, dominus whopper
rocket-powered with them toppers
you rule this day!

burgerking flamed-grilled decal set

likes ❤️ and retweets ♻️ are always greatly appreciated... "
47,['1623406762849370112'],1623406762849370112,"myla311 burgerking this happens daily at this location.  don't wanna call the cops, so maybe hire security to keep people from loitering and fighting? "
