,edit_history_tweet_ids,id,text
0,['1623437980487815175'],1623437980487815175,gracehoy vmlyr dicks wendys visitmiami amazing. proud of you. keep going!
1,['1623437369868443648'],1623437369868443648,jimrome wendys mahomes? i could see him with that wendy’s hair. and a baconator (only ketchup) 
2,['1623436502436024321'],1623436502436024321,"tacobell 
wendys 
burgerking 
buonabeef 

all have working apps that mcdonalds can't manage to do."
3,['1623436290795638784'],1623436290795638784,"- lolo4real 
wendys "
4,['1623435456842182657'],1623435456842182657,jimrome wendys we know you are not drinking or eating anything from wendy's
5,['1623435102440288256'],1623435102440288256,who is guilty of this? mcdonalds wendys jackbox burgerking carlsjr fiveguys sonicdrivein culvers habitburger whataburger hardees checkersrallys shakeshack freddysusa whitecastle fuddruckers johnnyrockets smashburger redrobinburgers dairyqueen sotu23 sotu2023
6,['1623434929211346944'],1623434929211346944,thauburger wendys fresh never frozen!
7,['1623434639850500096'],1623434639850500096,gamerboydesigns noahgragson pettygms wendys legacymotorclub aged incredible
8,['1623434526100971521'],1623434526100971521,"saged_up dave thomas of wendys, naturally! "
9,['1623434226464083968'],1623434226464083968,coffee_heathen snickelsox wendys this should be a regular thing! base a campaign around finding the last wendy's outside of a town
10,['1623433999795523584'],1623433999795523584,"i called mcdonalds burgerking wendys and even
fuddruckers today. none of them require a non-compete clause potus
 sotu2023 malarkey bidenlies"
11,['1623433538434486272'],1623433538434486272,wendys i love french toast imma need more sauce tho
12,['1623433437997846529'],1623433437997846529,jimrome wendys “it’s a no brainer!”- vic morrow
13,['1623431031381536769'],1623431031381536769,mereshas when you tell her that you're getting wendys for lunch
14,['1623430971780632576'],1623430971780632576,jimrome wendys hurts
15,['1623430685536002052'],1623430685536002052,wendys sponser me 
16,['1623430600727076866'],1623430600727076866,"beckynkotb ninaturner wendys the scandinavian countries pay their citizens a living wages. taxes are an important part of that formation.  republicans seek to cut taxes a d defund usa continually. 

please study how the scandinavian countries did it and emulate them."
17,['1623430369046405120'],1623430369046405120,wendys i want wendy's rn 😍
18,['1623430188385112064'],1623430188385112064,wendys all this was in a 4 for 4…. the math not adding up! wendys
19,['1623428068130926593'],1623428068130926593,jimrome wendys fair assessment romey van smack...
20,['1623427968046452739'],1623427968046452739,wendys dave thomas would be ashamed y’all got rid of the dollar menu and relabeled it “value” menu so you can charge whatever and say it’s a good deal
21,['1623426942765608960'],1623426942765608960,wendys why did i get two chicken patties in my sandwich 
22,['1623426869319303174'],1623426869319303174,wendys 2 for 2 2 for 4 2 for 5 2 for 6…..2030 2 for 10.
23,['1623425246505103360'],1623425246505103360,jimrome wendys hope romo doesn't catch you that carbonated beverage!
24,['1623425034315235331'],1623425034315235331,"ninaturner no matter how much they make, wendys would never get my order right."
