,edit_history_tweet_ids,id,text,lang
0,['1646964118782644224'],1646964118782644224,mcdonalds your food is cancerous poison,en
2,['1646963854830698496'],1646963854830698496,oscarweiner7 mcdonalds hopefully before the points expire,en
3,['1646963744231292929'],1646963744231292929,marvinstackss mcdonalds real recognizes real cuh,en
4,['1646963738036129813'],1646963738036129813,mcdonalds i’ve never seen a mcchicken look like that.,en
5,['1646963720034177137'],1646963720034177137,"rt trustwallet: mcdonalds this is giving me ptsd. 

more like this 👇
🟢🔵🟣🟠🟠🟣🟢🔴
⚪️🟡🔴🔴🟢🔴🔵🟠
🟢⚪️🔵✋😭🤚🔴🔴
🟢🔵🟡🔴🔴🔵🟢🟢
🔵🟡🟠⚪️🔵🔵🟢🔴",en
6,['1646963699654053902'],1646963699654053902,dear my lovely mc donalds how you gonna tell me there is a new mc flurry but your ice cream machine dont work messing with my emotions frfr mcdonalds,en
7,['1646963681912315904'],1646963681912315904,mcdonalds calling it the mccrispy is proof that freedom of speech is not all that great,en
8,['1646963479000276992'],1646963479000276992,"naturally it's not available in the us. yet another reason not to go to mcdonalds.
mcdonald's new burger is being called 'its best ever'  via femail",en
9,['1646963269205217284'],1646963269205217284,if mcdonalds don’t answer my dm—,en
10,['1646963206773002258'],1646963206773002258,rt _vygrr: mcdonalds you fucking forgot my large fries. you fucking smiled at me and told me to have a good day and proceeded to forget m…,en
11,['1646962916850057218'],1646962916850057218,rt thebinancenft: mcdonalds i'm lovin' it ,en
13,['1646962473243930624'],1646962473243930624,spatial_io thewebbyawards karenxcheng mcdonalds iwgroup unitygames congratulations ,en
14,['1646962445854953472'],1646962445854953472,mcdonalds your prices have quadrupled since i was a high school senior in 02. how do you think it’s ok to charge $9.79 for a sausage egg mcmuffin meal?  your prices are laughable.,en
15,['1646962216678182928'],1646962216678182928,tbh mcdonalds should sell their ketchup in stores. it’s way better than heinz,en
16,['1646962120645394433'],1646962120645394433,rt trustwallet: mcdonalds ,en
18,['1646961939065589761'],1646961939065589761,"br__hd noel_mcmxxxix apmassaro3 mcdonalds ukraine wants peace and freedom, so our kids,cats and dogs  and family could come back home 💛💙",en
19,['1646961825873907712'],1646961825873907712,rt trustwallet: mcdonalds what's that? like a type of beef?,en
20,['1646961739467051013'],1646961739467051013,rt saylor: mcdonalds doin' whatever it takes to acquire more bitcoin... ,en
21,['1646961682634375168'],1646961682634375168,好吧😳 mcdonalds ,en
22,['1646961044668006401'],1646961044668006401,yo! mcdonalds  please bring the bt21 merch to this side of the earth please 🙏🏻🫰🏻💜,en
24,['1646960815503970304'],1646960815503970304,"rt rgz916: mcdonalds 

did y’all do shrinkflation ? 

no way these little burgers got even smaller smh 🤦🏽‍♂️, prices didn’t go down thoug…",en
25,['1646960768858968087'],1646960768858968087,"mcdonalds go to mcdonald's in belleville, nj.  they can't match cars to orders and will charge the wrong order to your debit/credit and than blame it on too many cars.  avoid the rip-off and go to bk or wendy's.",en
26,['1646959499935195137'],1646959499935195137,"mcdonalds i prefer deepthroating bananas in the am. really gets me going in a different kind of way, you know? 🍌",en
27,['1646959203695874048'],1646959203695874048,mcdonalds i want some chicken nuggets and i want them fresh out of the cooker.,en
28,['1646959055913603072'],1646959055913603072,"man arrested for stabbing campbelltown paramedic outside mcdonald's on queen street. arrested campbelltown dailymail man mcdonalds newsouthwales news paramedic queen stabbing street sydney
",en
29,['1646958968475103232'],1646958968475103232,mcdonalds stick with the mcnuggets,en
30,['1646958957129355264'],1646958957129355264,run those snack wraps back mcdonalds,en
31,['1646958773234290700'],1646958773234290700,rt huobiglobal: mcdonalds we prefer it when you look like this 👀 ,en
32,['1646958136765435914'],1646958136765435914,rt beau_rideau: me and the boys. nazism nazi nationsocialism veganism vegan mcdonalds ,en
33,['1646958066305323015'],1646958066305323015,"🐸🐸🐸girls fight 🐸🐸🐸
funny funniestvideos lisaxceline crazyvideos crazyfight crazyclips funniesttweets funniestvideos fightsvideos fightingvideos girlfights girls mcdonalds 
wendys ",en
34,['1646957886826860551'],1646957886826860551,mcfranchisee mcdonalds i think they could do a good low-carb wrap.  the low carb wraps are as good as the normal tortillas.  a salad in a roll that you can eat in your car.  😋🫔,en
35,['1646957860033634305'],1646957860033634305,mcdonalds ,en
36,['1646957570182074378'],1646957570182074378,rt okx: mcdonalds i'm still lovin' my crypto job. 🍟but we all need a happy meal. ,en
37,['1646957426732675073'],1646957426732675073,mcdonalds y’all so damn disobedient i said no onions on this double cheeseburger and i asked for extra cheese on bd 👎🏾,en
38,['1646957370306703360'],1646957370306703360,davidhogg111 no sane person gets mcdonalds fries without salt…. 🙄,en
39,['1646957213733232640'],1646957213733232640,mcdonalds high blood pressure,en
40,['1646956875534172161'],1646956875534172161,"mcdonalds very nice and touching ❤️ 
prepare for right wing attacks and boycotts immediately. 🤷‍♀️",en
41,['1646956597414105089'],1646956597414105089,mcdonalds ,en
42,['1646956448683905032'],1646956448683905032,mcdonalds y’all need to stop lying like there’s anything that’s even $1 anymore on your menu besides apple pies… maybe.,en
43,['1646955924823867392'],1646955924823867392,iwgroup mcdonalds karenxcheng thewebbyawards congrats on your nom! just a few days left; go get those votes in. 👀 ^mm,en
44,['1646955410140844032'],1646955410140844032,mcdonalds you food sucks and your work agenda is why your manufactured food will never be consumed by my family and i.,en
45,['1646955342343880704'],1646955342343880704,mcdonalds bring back all day breakfast you cowards,en
46,['1646955054908297230'],1646955054908297230,rt _vygrr: mcdonalds you fucking forgot my large fries. you fucking smiled at me and told me to have a good day and proceeded to forget m…,en
47,['1646954996682948612'],1646954996682948612,rt huobiglobal: mcdonalds we prefer it when you look like this 👀 ,en
48,['1646954748312973312'],1646954748312973312,rt okx: mcdonalds i'm still lovin' my crypto job. 🍟but we all need a happy meal. ,en
49,['1646954042181001216'],1646954042181001216,mcdonalds ,en
50,['1646953854775197696'],1646953854775197696,hey guys it’s 2023 someone needs to make a burger that has an egg on it. mcdonalds burgerking wendys hardees arbys,en
51,['1646953714710904833'],1646953714710904833,"rt trustwallet: mcdonalds this is giving me ptsd. 

more like this 👇
🟢🔵🟣🟠🟠🟣🟢🔴
⚪️🟡🔴🔴🟢🔴🔵🟠
🟢⚪️🔵✋😭🤚🔴🔴
🟢🔵🟡🔴🔴🔵🟢🟢
🔵🟡🟠⚪️🔵🔵🟢🔴",en
52,['1646953607395266564'],1646953607395266564,rt trustwallet: mcdonalds what's that? like a type of beef?,en
53,['1646953463077535747'],1646953463077535747,mcdonalds plz bring back mighty wings 🙏🏽,en
54,['1646953072751419392'],1646953072751419392,mcdonalds depending on mcdonalds for happiness is pitiful.,en
55,['1646952789904617474'],1646952789904617474,"get your $100 mcdonalds gift card now!
i came across a giveaway to claim $100 mcdonalds gift card recently and entered it myself.
i've been spreading the word and if you are interested too.

mcdonaldsgiftcard
mcdonaldgiftcardgiveaway
freegiftcard ",en
56,['1646952365545738353'],1646952365545738353,reycall1 mcdonalds sonicdrivein subway popeyes littlecaesars tacobell dominos wingstop jerseymikes can’t even read it but ok,en
57,['1646952243210620928'],1646952243210620928,mcdonalds hi-c is the only drink that matters,en
58,['1646952237107671040'],1646952237107671040,"the strawberry shortcake mcflurry at mcdonalds.. 👎🤢👎!
it's vanilla ice cream mixed with  tiny stale chunks of artificially flavored strawberry cereal. 
i have a strong stomach and it actually made me feel a little sick. ",en
60,['1646951477376700420'],1646951477376700420,campbelltown mcdonald’s stabbing: nsw ambulance paramedic killed on shift named as steven tougher  breakingnews dailymail latestnews mcdonalds newsouthwales news stabbing sydney tazamind todaynews,en
63,['1646950375193280518'],1646950375193280518,mcdonalds already sent you all a message this morning,en
64,['1646950334042980352'],1646950334042980352,mcdonalds you guys need to be more realistic in prices. some of your location disparaging values.,en
67,['1646949749637914643'],1646949749637914643,iceghost2007 mcdonalds sonicdrivein subway popeyes littlecaesars tacobell dominos wingstop jerseymikes hmm. the next 2 or 4 weeks will flow by rather quickly make sure you lay out some plans... least you find yourself un able to do anything,en
68,['1646949722689511452'],1646949722689511452,"jecalove mcdonalds at least you got something extra, usually they just don’t put the burger in their hamburger, or forget the chicken in their chx sandwiches.. getting extra sounds like an improvement for mcdonald’s",en
69,['1646949530305282054'],1646949530305282054,"moworldwide i heard you and i understand you about ur lawsuit. cuz i got trauma &amp; have few cases lawsuit due accessible, racism, and barrier use gvracareers
service for our career and education for disability, deaf, hoh community i got discrimination by target dish mcdonalds",en
70,['1646949356073787425'],1646949356073787425,mcdonalds yea i’ve never had a sandwich look like this ordered one after seeing ads about them looking like this it barely had ranch chicken was hours old couldn’t tear the meat with my teeth it was so hard.,en
71,['1646949235240083470'],1646949235240083470,mcdonalds shouldn’t have gotten rid of the dollar menu in the first place. 2 mcchickens and mcdouble for $12?  you do know the cheap cost was the only reason people used to eat there right?  too little too late,en
72,['1646949208002543618'],1646949208002543618,looks like mcdonalds ran out of budget for the bathroom 😂 mcdonalds ,en
73,['1646948636876742656'],1646948636876742656,"rt discoverfight: she was hungry ... so i gave her a macdick

fighting fightvideos school schoolfights fights fightvideo fighton f…",en
74,['1646948581138374675'],1646948581138374675,mrbrewjackstone mcharlesworth7 njvinnie elise_flowers aaron_sparrow mcdonalds a mandatory suspension without pay &amp;/or an outright sacking is forthcoming. ,en
75,['1646948557054681107'],1646948557054681107,"rt promptshow: mcdonald's proprietary police
mcdonalds ",en
77,['1646948011560542208'],1646948011560542208,hey ca restaurant association calrestaurants we don't want poison in our take-out!  support ab1290 &amp; get toxins out of our plastics!  mcdonalds stop poisoning people &amp; polluting our planet. padleoutplastic thanks for retrieving this toxin &amp; bringing awareness to this crisis! ,en
78,['1646947818030899250'],1646947818030899250,rt bitcoin: mcdonalds every ten minutes just like clockwork.,en
79,['1646947782693904384'],1646947782693904384,mi_james57 mcdonalds it ain’t a happy meal bro,en
80,['1646947590473130002'],1646947590473130002,mcdonalds ,en
81,['1646947586668896258'],1646947586668896258,"rt watcherguru: $1,000 invested 10 years ago: 

bitcoin: $3,535,000
tesla:  $162,000
netflix: $27,700
amazon: $11,565
microsoft: $9,5…",en
82,['1646947565353443348'],1646947565353443348,mcdonalds ,en
83,['1646947446755303437'],1646947446755303437,1ericafton mcdonalds nobody asked you to cry about a fucking happy meal either. 🤷,en
85,['1646947261929103375'],1646947261929103375,guysnarky mcdonalds imagine thinking seeing a man and a woman is the same as two dudes,en
86,['1646947257877405709'],1646947257877405709,mi_james57 mcdonalds nobody asked lmao,en
88,['1646946140472877070'],1646946140472877070,"comanche_kiowa true,,but sum folks dont work as hard at what their getting paid an expect a raise and a promotion..no effort no promotion..like order filler mcdonalds getting paid 15 an hr but cant fill a damn order right...you had 1 job 2 do.. an failed..",en
89,['1646945972964958210'],1646945972964958210,mcdonald’s where’s the love!! 😬  mcdonalds ,en
0,['1646945954178940928'],1646945954178940928,mcdonalds msapril0073 i can’t believe people still eats mcdonald’s 💩,en
2,['1646945763627245591'],1646945763627245591,".mcdonalds need to bring back 3 things and 3 things only, snack wraps, butterfinger’s mcflurries, and supersized fries.",en
3,['1646945653514182656'],1646945653514182656,"opensea mcdonalds once a bozz always a bozz_catz 🤫💎
let’s see later this year if the burger seller‘s stick arround in 2023 aswell wagmi ",en
4,['1646945631993298944'],1646945631993298944,"mcdonalds clearly a fake video, a real mcdonald's employee would never manage to get the sauce on the inside of the bun.",en
6,['1646945525470470164'],1646945525470470164,mcdonalds you forgot the part where you steal your workers’ wages,en
8,['1646944993292984322'],1646944993292984322,mcdonalds the concern is just mind-boggling.,en
9,['1646944978126381088'],1646944978126381088,"my number one problem when eating a burger is that the lettuce and tomato are all warm and gross but in the process they've cooled off the burger

if only there was some sort of solution to this issue i have mcdonalds",en
11,['1646944790708101128'],1646944790708101128,"rt watcherguru: $1,000 invested 10 years ago: 

bitcoin: $3,535,000
tesla:  $162,000
netflix: $27,700
amazon: $11,565
microsoft: $9,5…",en
12,['1646944753479458819'],1646944753479458819,mcdonalds simple hi-c,en
13,['1646944021380562944'],1646944021380562944,rt saylor: mcdonalds doin' whatever it takes to acquire more bitcoin... ,en
14,['1646943721144070144'],1646943721144070144,mcdonalds i got rudely yelled at by a manager when i was just eating peacefully at a table,en
15,['1646943536879681537'],1646943536879681537,mcdonalds it’d be nice if i could actually redeem offers instead of the drive thru order taker telling me the deal has already been redeemed when i the app has been broken for me for 2 weeks,en
16,['1646943243995586573'],1646943243995586573,mcdonalds for lunch 😀,en
17,['1646943059131904000'],1646943059131904000,keepmylipsred mcdonalds mcdonaldsjapan mcdonaldscanada mcdonaldsuk yes jack tag all the mcbitches,en
18,['1646942943217852430'],1646942943217852430,headlinecinema mcdonalds mcdonaldsjapan mcdonaldscanada mcdonaldsuk,en
19,['1646942746987339787'],1646942746987339787,rt headlinecinema: mcdonalds bring back all day breakfast ,en
20,['1646942742310690824'],1646942742310690824,dark_rift1 zacklikesfrogs mcdonalds he is definitely not responding after that 🤣,en
21,['1646942723440791552'],1646942723440791552,mcdonalds 😎,en
22,['1646942674232942597'],1646942674232942597,"mcdonalds snack wraps, fruit and walnut salads, fruit n yogurt parfaits, chicken selects, and the old chicken sandwiches need to be brought back. these “mccrispys” are not good. i rarely eat at mcds anymore because the menu and service is not good anymore.",en
23,['1646942585615978496'],1646942585615978496,"cocoaeyebrows fightfor15la mcdonalds ca_dir no. i believe the law of supply &amp; demand is like gravity, and price fixing causes unintended but inevitable consequences. minimum wage is not an act of justice for workers, but rather simply the outlawing of certain jobs. hence the replacement of entry level jobs with automation",en
24,['1646942328819425282'],1646942328819425282,reycall1 my favorite restaurant is mcdonalds sonicdrivein subway popeyes littlecaesars tacobell dominos but i don’t see wingstop and jerseymikes i love jersey mike’s the most because they have my name mike’s,en
25,['1646942254064603136'],1646942254064603136,mcdonalds bring back all day breakfast ,en
27,['1646941918150926345'],1646941918150926345,"dark_rift1 echox000213 newytuser mcdonalds what do i have to say? people are pussies. its beer lmao who cares if it has trans people on it or not. its a stupid freakout over something thats completely harmless. the whole ""the left are snowflakes"" crowd instantly collapsed into being snowflakes.",en
28,['1646941874576568321'],1646941874576568321,"spatial_io 💫congrats karenxcheng and mcdonalds on your 
nomination for best partnership at the
thewebbyawards built on spatial_io 

metaverse web3 nft vr ar ai spatian 
",en
29,['1646941666937552896'],1646941666937552896,mcdonalds mcdonald’s too expensive     go elsewhere.,en
30,['1646941633668063247'],1646941633668063247,rt trustwallet: mcdonalds ,en
31,['1646941415161602074'],1646941415161602074,mcdonalds wendys  dnt park you and have you waiting for 4 min like mcdonalds does because managers trying to get fast drive thru waiting time low. its the same thang you still have customers waiting. also chick fil a  fast drive tru that dnt park you.,en
32,['1646941358043570183'],1646941358043570183,spatial_io thewebbyawards karenxcheng mcdonalds iwgroup unitygames ❤️❤️❤️,en
33,['1646941253873836062'],1646941253873836062,campbelltown mcdonald's stabbing: see the wedding footage of parademic steven tougher before he died - daily mail mcdonalds fastfood ,en
