,edit_history_tweet_ids,id,text,lang
2,['1652002267443212301'],1652002267443212301,"why do these companies hate our daughters?
anheuserbusch 
nike
tampax
blackrock ",en
4,['1652002232328499248'],1652002232328499248,"samsung cell phone deal! samsung galaxy a13 (5g) 64gb unlocked - black (renewed)
now: $133.99
was: $169.50
click for deal link!


thenorthface nike adidas hypebeast amazon ebay ",en
6,['1652002092792393743'],1652002092792393743,"nike acg moc 3.0 union oil grey safari 10 dd1910-001 sb dunk force 1 max japan | ebay
us $179.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
7,['1652002078212993066'],1652002078212993066,michaeldoge420 thekatskid1 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
9,['1652002060303503360'],1652002060303503360,"n8frost nike nikestore jumpman23 good morning!  love these 6s, have these 6s.

and something else you have: ",en
10,['1652002051277172744'],1652002051277172744,"lenovo 2023 ideapad 3 17.3"" fhd ips premium
now: $536.99
was: $663.99
click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
12,['1652001945962393620'],1652001945962393620,kdtrey5 nike you signed to the illuminati now 😂😂😂,en
13,['1652001937208881175'],1652001937208881175,kdtrey5 davidaldridgedc nike congratulations,en
14,['1652001932406403092'],1652001932406403092,kdtrey5 nike never buy kd sneakers since he he cried his way out of brooklyn i’m good,en
15,['1652001837120204826'],1652001837120204826,potus respectfully staged kremlinrussia_e medicine smithsonian politics usarmy respectfully i am us… don’t u reap me u b good fake stories nike lest ye b pontifex judged cia clean up respectfully 2 way street pts ukraine d splitscreensmearuswrong no future ww3 storm ,en
16,['1652001837032124442'],1652001837032124442,zackgoering nikestore nike mochas for the office ,en
18,['1652001764562939923'],1652001764562939923,"graphic designer victor martens fuses nike and ikea logos in a clever and playful concept collaboration. the result is a visually stunning representation of their potential partnership.
graphicdesign nike ikea ",en
19,['1652001762386096129'],1652001762386096129,kdtrey5 nike kd all good but please don’t start with the commercials like lj &amp; sc they’re completely o’d.,en
20,['1652001729523724304'],1652001729523724304,kdtrey5 nike win a real ring for once,en
21,['1652001729246900250'],1652001729246900250,rt mannysevendx: happy friday fam! ✌🏽 tome to bust out these babies again! jordan11 spring summer  kotd jordan nike snkrsliveheatin…,en
23,['1652001673676574721'],1652001673676574721,officiallyctg thekatskid1 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
25,['1652001582509174800'],1652001582509174800,thekatskid1 officiallyctg nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
26,['1652001581108277260'],1652001581108277260,thekatskid1 michaeldoge420 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
27,['1652001510476369921'],1652001510476369921,mariners got mine. can someone talk to nike about replacing that blue with a color native to the northwest? these look like the leftovers from the brewers design session truetotheteal that squared up 🔱 is straight up 🔥 tho. cityconnect ,en
28,['1652001477123092509'],1652001477123092509,officiallyctg thekatskid1 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
29,['1652001455711170562'],1652001455711170562,kdtrey5 nike streets need a 40 piece to celebrate your contract tomorrow,en
30,['1652001415123046400'],1652001415123046400,rt jamaalaldin_tv:  jimin &amp; suga live on weverse after concert talk military 227's youtube chili' bts! kpop!🎶 hoo…,en
33,['1652001385691459593'],1652001385691459593,officiallyctg michaeldoge420 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
35,['1652001378141863936'],1652001378141863936,rt jamaalaldin_tv:  reacting to mic drop - 227's youtube chili' bts! kpop!🎶 hoops227tv  ht…,en
37,['1652001357589561344'],1652001357589561344,"kdtrey5 nike they dropped kyrie over his anti-semitic views, surprised you remain endorsing them since thats your boy and all",en
38,['1652001285917356045'],1652001285917356045,michaeldoge420 thekatskid1 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
39,['1652001280838053892'],1652001280838053892,slide these out the cut! 🫡sneakersliveheatingup supreme5 kotd yoursneakersaredope nodesignertoday nike welcometodeathrow ,en
40,['1652001263851012096'],1652001263851012096,kevin durant has just announced he has signed a lifetime deal with nike. he joins lebron james and michael jordan in such historic company.,en
42,['1652001190249476118'],1652001190249476118,kdtrey5 nike about time,en
43,['1652001166144811046'],1652001166144811046,officiallyctg thekatskid1 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
44,['1652001086717214720'],1652001086717214720,thekatskid1 michaeldoge420 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
47,['1652001040537989134'],1652001040537989134,n8frost nike nikestore jumpman23 you always shine above us all with your pics!!!,en
48,['1652001039149674510'],1652001039149674510,puma adidas nike reebok someone make senfettermanpa a suit out of sweats. the man needs a custom look for the senate.,en
49,['1652001012318883843'],1652001012318883843,psilentassassin nicekicks boardroom kdtrey5 nikebasketball nike ain’t no way you actually play basketball,en
50,['1652000986746040338'],1652000986746040338,thekatskid1 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
51,['1652000942408052746'],1652000942408052746,kdtrey5 nike nikebasketball congratulations but.. bring back the kd4s ,en
52,['1652000925043798017'],1652000925043798017,grama641 tampax budlight nike what happen to real women,en
54,['1652000840075587584'],1652000840075587584,lakersbetta kdtrey5 nike kevin durant signs huge deal with nikemore than lebron 1.1b over lifetime with incentives plus perks,en
