,edit_history_tweet_ids,id,text,lang
0,['1649434224326324224'],1649434224326324224,rt jsteinbroner: happy caturday bigglesworth is trying to get a side hustle in advertising! pepsi canadadry ,en
1,['1649434100288159746'],1649434100288159746,"rt atinglobalsoc: a preview of the pepsi philippines x sb19 collaboration!

thank you mahalima and pepsiphl!

ctto: pepsi philippines tik…",en
2,['1649433695437324288'],1649433695437324288,lovemesome1980s nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes todays strip ,en
3,['1649430503110352900'],1649430503110352900,comediennemspat maryjblige pepsi look at ms. pat doing the dam thang😂 congratulations 🎉🎊,en
4,['1649429972921257985'],1649429972921257985,pepsico pepsi ew no one drinks that,en
5,['1649429955238039552'],1649429955238039552,"rt _siwperiors: fishballs + kwek kwek + pepsi + you = perfect combo! 👌💯😋 

updated tags:

mahalima pepsi food trip
sb19official sb19 pe…",en
7,['1649428960365670400'],1649428960365670400,dustinbarnes615 pepsi hi dustin! we'll be sure to share your bring back request with our product development teams 💛,en
8,['1649427818625785863'],1649427818625785863,"pepsi jetblue how awesome, love flying jetblue with a cold pepsi in hand! zeroisnowboarding sweepstakes",en
9,['1649427792570859525'],1649427792570859525,"rt starburst192023: mas masarap maiba! 

watch the full video here: 

we know everyone's excited! make sure to foll…",en
14,['1649423522739941377'],1649423522739941377,"rt atinglobalsoc: a preview of the pepsi philippines x sb19 collaboration!

thank you mahalima and pepsiphl!

ctto: pepsi philippines tik…",en
17,['1649422139123027970'],1649422139123027970,pepsico pepsi chestercheetah fritolayminis remember to bring some to ghana too 🌺🦢🇬🇭,en
18,['1649421477077213184'],1649421477077213184,"rt starburst192023: mas masarap maiba! 

watch the full video here: 

we know everyone's excited! make sure to foll…",en
19,['1649421087023804417'],1649421087023804417,did y’all see the line-up for maryjblige &amp; pepsi strengthofwomanfest 2023?? the line-up is craaaaaaazy! i’m looking forward to speaking at the summit this year! meet me there! soaw2023 ,en
20,['1649421085085954052'],1649421085085954052,"see you monday, areared!

students uwmadison, stop by the kohl center on april 24 for our student appreciation event from 5:30-7 p.m.

grab free food and drink from 
topperspizza and pepsi!

enter to win season tickets for:
• badgerfootball
• badgermbb
• badgermhockey ",en
21,['1649420540686348288'],1649420540686348288,sugar water and salty snacks are good investments. pepsi ,en
22,['1649419173758468097'],1649419173758468097,bring back crystal pepsi pepsi,en
24,['1649416155063373824'],1649416155063373824,"jichangxmin here’s your pepsi (girl) to your summer, changminyi. just take as many as you want, it’s free! ",en
25,['1649416121374724097'],1649416121374724097,"rt sb19trendsph: bagong foodtrip with mahalima? 04.20.2023 

another collaboration of sb19 and ninang pepsi ph! can we expect a food trip…",en
26,['1649413600203747333'],1649413600203747333,"rt skyajero_016: bat ang hilig talaga maghubad ng jacket bhieeeeeee!!!! 😭

netizensreport stellajero  for most handsome man alive mhma2…",en
28,['1649413148644974603'],1649413148644974603,"rt stellberryfan: early morning ayuda from ninang pepsiphl 💙🙏 pepsi   

netizensreport stellajero  for most handsome man alive mhma20…",en
33,['1649410424952041474'],1649410424952041474,"summer is coming near to! heading out and meeting friends, let’s creep up on this delightful occasions with high enthusiasm and festive foods, and pepsi as your one-way ticket to summer fanfare. ☁️☀️ ",en
40,['1649403589645746176'],1649403589645746176,"pepsico pepsi root beer float was popular in canada when i grew up...esp from a&amp;w drive-in restaurants. 

big wide mouth mug with spoon for the ice cream and straw. maraschino cherry on top. no cookie.",en
42,['1649402724600156161'],1649402724600156161,while there always competition between them from generation to generation cocacola pepsi fridayvibes ,en
43,['1649402444412059651'],1649402444412059651,"f.f. iamjvwheels,vaxismedia,abductionwine,milkymarbles,pornnado,teresaasfs,pepsi,spearmintrhionlv,spahireslasvegas,hbomax,dinseyplus,newyorkcity,saphirestimessq,axelbraun,sethgambelxxx,mrgoodluckxxx,mrcudlzxxx,bunnyranch,_hustleer",en
45,['1649401040100532224'],1649401040100532224,"rt chainjournal: guardianlink ceo discusses nft strategy and execution work it does for pepsi, cadbury, and la times …",en
46,['1649400325525184517'],1649400325525184517,"pepsi jetblue jesus christ, they should've learned from the bud light disaster.",en
47,['1649400184537743360'],1649400184537743360,"rt evan_van_ives: have a pepsi day ✌️ 

📸 boho_boys 

wideangle pepsi nsfw gay twink blond retro vintage 70s 80s legs https://…",en
50,['1649399769616244736'],1649399769616244736,pepsi nfts - or maybe not!! ,en
52,['1649399484009402369'],1649399484009402369,rt alaga_4040: brfootball retweet pls🙏 made in nigeria 🇳🇬 version of fortheloveofit pepsimorethanok pepsi pepsihalftimeshow pepsihal…,en
53,['1649399471191519232'],1649399471191519232,rt alaga_4040: fcbarcelona 5sergiob retweet pls🙏 made in nigeria 🇳🇬 version of fortheloveofit pepsimorethanok pepsi pepsihalftimesho…,en
54,['1649399445384056832'],1649399445384056832,rt alaga_4040: brfootball retweet pls🙏 made in nigeria 🇳🇬 version of fortheloveofit pepsimorethanok pepsi pepsihalftimeshow pepsihal…,en
58,['1649399036321906692'],1649399036321906692,pepsi justin_willman what happened to your new logo,en
59,['1649398827374333952'],1649398827374333952,"if pepsi and jetblue are paying,
turks &amp; caicos or dubai are my destination. 
zeroisnowboarding  sweepstakes",en
