,text,positive,negative,neutral,result,
0,pepsico pepsi perfect way to die in your thirties.,0.253,0.267,0.479,Negative,
1,pepsi what's cooler than being cool?!?,0.371,0,0.629,Neutral,
2,"pepsi i assume you're talking freedom units, or it's not that surprising!",0.275,0.111,0.613,Neutral,
5,rt starburst192023: it's a wrap! i guess we'll be expecting a food trip vlog in collaboration of sb19 and pepsi philippines on 04.20.2023!…,0,0,1,Negative,
10,pepsi this is very great,0.523,0,0.477,Positive,
11,pepsi its snowing here. which just means i can ditch the cooler.,0,0,1,Negative,
13,"yosoygeorgem pepsico pepsi lol, just drink a little i think it's okay",0.32,0,0.68,Neutral,
14,pepsi jetblue anywhere! pepsi jetblue zeroisnowboarding sweepstakes,0,0,1,Negative,
18,"find out how north american companies like aecom, cnrailway and pepsi are building science-based targets into their decarbonization strategies in cdp’s new report. read it here:  ",0.091,0,0.909,Neutral,
21,"rt _siwperiors: i'm excited about the new pepsi x sb19 collaboration.. 💙🤩💙

 📽️: pepsi philippines | tiktok
🔗

pep…",0.34,0,0.66,Positive,
22,"rt starburst192023: mas masarap maiba! 

watch the full video here: 

we know everyone's excited! make sure to foll…",0.248,0,0.752,Positive,
24,"rt _siwperiors: fishballs + kwek kwek + pepsi + you = perfect combo! 👌💯😋 

updated tags:

mahalima pepsi food trip
sb19official sb19 pe…",0.28,0,0.72,Positive,
26,what's wrong with pepsi,0,0.508,0.492,Negative,
32,"rt atinglobalsoc: a preview of the pepsi philippines x sb19 collaboration!

thank you mahalima and pepsiphl!

ctto: pepsi philippines tik…",0.14,0,0.86,Neutral,
33,".orlandomagic’s michael carter-williams joins pepsico and 
big brothers big sisters to help local kids in need. magictogether mcarterwilliams heatherhoytink pepsi ",0.124,0,0.876,Neutral,
34,"quicktake if it's trash like sierra mist, pepsi stands no chance.",0.189,0.131,0.68,Negative,
35,"we are a critical driver of outcomes for development.



wef forwardlooking wef pepsi repharma2023 productivity propertyrights freemarkets workers prosperity niper medical scientistlife phdchat pharmaceuticals biology biological",0,0.084,0.916,Negative,
36,"rt stellberryfan: early morning ayuda from ninang pepsiphl 💙🙏 pepsi   

netizensreport stellajero  for most handsome man alive mhma20…",0.37,0,0.63,Positive,
38,uwbadgers areared uwmadison topperspizza pepsi badgerfootball badgermbb badgermhockey bring back the baseball program!,0,0,1,Negative,
39,i see a trip to martha’s vineyard in my future courtesy of my friends pepsi and jetblue. living for experiences and not things ❤️ zeroisnowboarding sweepstakes,0.183,0,0.817,Positive,
41,pepsi jetblue i see a trip to martha’s vineyard in my future courtesy of my friends pepsi and jetblue. living for experiences and not things ❤️ zeroisnowboarding sweepstakes,0.172,0,0.828,Positive,
44,rt jsteinbroner: happy caturday bigglesworth is trying to get a side hustle in advertising! pepsi canadadry ,0.21,0,0.79,Positive,
46,lovemesome1980s nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes todays strip ,0,0,1,Negative,
47,comediennemspat maryjblige pepsi look at ms. pat doing the dam thang😂 congratulations 🎉🎊,0.355,0.065,0.58,Positive,
48,pepsico pepsi ew no one drinks that,0,0.268,0.732,Negative,
50,whereistega pepsi_naija pepsi for life …,0,0,1,Negative,
51,dustinbarnes615 pepsi hi dustin! we'll be sure to share your bring back request with our product development teams 💛,0.346,0,0.654,Positive,
52,"pepsi jetblue how awesome, love flying jetblue with a cold pepsi in hand! zeroisnowboarding sweepstakes",0.496,0,0.504,Positive,
61,pepsico pepsi chestercheetah fritolayminis remember to bring some to ghana too 🌺🦢🇬🇭,0,0,1,Negative,
63,did y’all see the line-up for maryjblige &amp,,0,0,1,Negative
64,"see you monday, areared!

students uwmadison, stop by the kohl center on april 24 for our student appreciation event from 5:30-7 p.m.

grab free food and drink from 
topperspizza and pepsi!

enter to win season tickets for:
• badgerfootball
• badgermbb
• badgermhockey ",0.21,0.042,0.747,Positive,
65,sugar water and salty snacks are good investments. pepsi ,0.266,0,0.734,Neutral,
68,"jichangxmin here’s your pepsi (girl) to your summer, changminyi. just take as many as you want, it’s free! ",0.234,0,0.766,Neutral,
69,"rt sb19trendsph: bagong foodtrip with mahalima? 04.20.2023 

another collaboration of sb19 and ninang pepsi ph! can we expect a food trip…",0,0,1,Negative,
70,"rt skyajero_016: bat ang hilig talaga maghubad ng jacket bhieeeeeee!!!! 😭

netizensreport stellajero  for most handsome man alive mhma2…",0.263,0.108,0.629,Positive,
77,"summer is coming near to! heading out and meeting friends, let’s creep up on this delightful occasions with high enthusiasm and festive foods, and pepsi as your one-way ticket to summer fanfare. ☁️☀️ ",0.315,0,0.685,Positive,
84,"pepsico pepsi root beer float was popular in canada when i grew up...esp from a&amp;w drive-in restaurants. 

big wide mouth mug with spoon for the ice cream and straw. maraschino cherry on top. no cookie.",0.119,0.057,0.825,Neutral,
86,while there always competition between them from generation to generation cocacola pepsi fridayvibes ,0,0,1,Negative,
87,"f.f. iamjvwheels,vaxismedia,abductionwine,milkymarbles,pornnado,teresaasfs,pepsi,spearmintrhionlv,spahireslasvegas,hbomax,dinseyplus,newyorkcity,saphirestimessq,axelbraun,sethgambelxxx,mrgoodluckxxx,mrcudlzxxx,bunnyranch,_hustleer",0,0,1,Negative,
89,"rt chainjournal: guardianlink ceo discusses nft strategy and execution work it does for pepsi, cadbury, and la times …",0,0,1,Negative,
90,"pepsi jetblue jesus christ, they should've learned from the bud light disaster.",0,0.272,0.728,Negative,
91,"rt evan_van_ives: have a pepsi day ✌️ 

📸 boho_boys 

wideangle pepsi nsfw gay twink blond retro vintage 70s 80s legs https://…",0,0,1,Negative,
94,pepsi nfts - or maybe not!! ,0,0,1,Negative,
96,rt alaga_4040: brfootball retweet pls🙏 made in nigeria 🇳🇬 version of fortheloveofit pepsimorethanok pepsi pepsihalftimeshow pepsihal…,0.071,0,0.929,Negative,
97,rt alaga_4040: fcbarcelona 5sergiob retweet pls🙏 made in nigeria 🇳🇬 version of fortheloveofit pepsimorethanok pepsi pepsihalftimesho…,0.071,0,0.929,Negative,
2,pepsi justin_willman what happened to your new logo,0,0,1,Negative,
